Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0,157,159,161,163,165,167,166,166,166,165,165,168,172,176,179,183,249,314,380,446,512,470,428,387,345,303,326,349,372,395,418,513,609,705,800,896,986,1075,1165,1255,1345
Hombres,1,240,250,259,268,278,287,293,298,304,310,315,324,334,343,352,362,462,563,663,763,864,830,797,763,730,696,736,775,814,854,893,932,972,1011,1051,1090,1115,1139,1164,1189,1213
Hombres,2,296,310,325,339,353,367,377,387,397,407,417,430,443,456,469,482,605,728,851,974,1097,1069,1041,1013,984,956,1006,1056,1107,1157,1207,1205,1202,1200,1198,1195,1173,1150,1127,1105,1082
Hombres,3,328,345,363,380,398,415,428,441,454,466,479,494,510,525,540,555,690,826,961,1097,1232,1207,1181,1156,1130,1105,1161,1217,1274,1330,1386,1355,1323,1291,1259,1228,1173,1118,1064,1009,954
Hombres,4,341,360,379,398,417,436,450,465,479,494,508,524,540,556,572,588,728,868,1008,1148,1288,1264,1239,1214,1190,1165,1224,1282,1341,1399,1458,1407,1356,1305,1254,1203,1129,1055,981,907,833
Hombres,5,339,359,378,397,417,436,451,467,482,497,512,528,544,560,576,592,731,869,1008,1146,1285,1260,1235,1210,1185,1159,1217,1275,1332,1390,1447,1386,1324,1262,1201,1139,1055,971,888,804,720
Hombres,6,328,346,365,384,403,422,438,453,469,484,499,515,530,546,561,577,710,843,976,1109,1242,1215,1189,1163,1137,1111,1165,1219,1274,1328,1382,1316,1249,1183,1116,1050,964,878,792,706,620
Hombres,7,310,328,347,365,383,401,416,431,446,462,477,492,507,521,536,551,676,802,927,1053,1178,1151,1123,1096,1068,1041,1090,1140,1190,1239,1289,1222,1154,1087,1020,953,869,786,702,619,535
Hombres,8,292,309,326,343,360,378,393,408,423,438,453,467,481,496,510,525,642,760,878,996,1114,1086,1057,1029,1001,973,1017,1061,1105,1150,1194,1128,1062,996,930,864,785,706,627,548,469
Hombres,9,278,294,310,327,343,359,374,389,404,419,435,449,464,478,493,507,619,732,844,956,1069,1041,1013,985,957,929,968,1007,1046,1085,1124,1059,994,929,864,799,724,648,573,498,423
Hombres,10,255,270,284,299,314,329,343,358,373,387,402,416,430,444,458,472,576,679,782,886,989,962,934,907,879,852,885,919,953,987,1021,962,903,844,784,725,658,590,523,456,388
Hombres,11,212,223,235,247,259,271,283,296,309,322,335,347,359,370,382,394,480,565,650,736,821,794,766,739,711,684,713,742,770,799,828,784,741,697,654,610,559,508,457,406,355
Hombres,12,235,249,263,276,290,304,319,335,350,366,382,397,413,429,445,461,559,657,755,853,951,930,910,889,868,848,876,905,934,963,992,937,881,826,770,715,650,585,520,455,390
Hombres,13,363,386,410,433,457,480,506,531,556,582,607,636,666,695,725,754,912,1070,1228,1386,1544,1540,1537,1533,1529,1525,1561,1598,1634,1671,1707,1597,1486,1376,1265,1155,1028,902,775,649,522
Hombres,14,550,588,625,663,701,738,777,816,856,895,934,982,1030,1079,1127,1176,1421,1666,1911,2156,2401,2421,2440,2460,2479,2499,2549,2599,2648,2698,2748,2558,2368,2178,1988,1798,1582,1366,1149,933,717
Hombres,15,722,773,824,874,925,976,1028,1079,1131,1183,1234,1300,1366,1432,1498,1564,1890,2215,2541,2866,3192,3233,3275,3317,3359,3401,3463,3525,3588,3650,3713,3450,3188,2926,2664,2401,2102,1803,1505,1206,907
Hombres,16,904,969,1033,1098,1162,1227,1292,1356,1421,1486,1551,1636,1720,1805,1889,1974,2384,2795,3205,3615,4026,4089,4152,4214,4277,4340,4413,4485,4558,4631,4703,4366,4028,3691,3353,3016,2634,2251,1869,1487,1104
Hombres,17,999,1071,1143,1215,1287,1359,1431,1503,1576,1648,1720,1815,1910,2004,2099,2194,2650,3105,3561,4017,4473,4559,4644,4730,4815,4901,4994,5088,5182,5276,5369,4992,4614,4237,3859,3482,3039,2596,2154,1711,1268
Hombres,18,954,1023,1092,1162,1231,1300,1371,1441,1511,1582,1652,1744,1835,1926,2018,2109,2547,2986,3424,3862,4301,4411,4520,4630,4740,4849,4980,5110,5241,5371,5502,5140,4779,4417,4056,3694,3230,2765,2301,1837,1372
Hombres,19,817,877,938,998,1058,1118,1180,1243,1305,1367,1429,1509,1588,1668,1747,1826,2206,2586,2965,3345,3724,3858,3992,4125,4259,4392,4568,4744,4919,5095,5270,4962,4653,4344,4036,3727,3268,2809,2350,1891,1432
Hombres,20,693,744,796,848,900,952,1007,1061,1116,1171,1226,1294,1363,1431,1500,1568,1894,2220,2546,2872,3199,3355,3511,3668,3824,3981,4199,4417,4636,4854,5073,4813,4553,4292,4032,3772,3317,2861,2406,1950,1495
Hombres,21,560,603,646,689,732,775,822,869,916,963,1010,1066,1123,1179,1236,1293,1562,1831,2100,2369,2638,2818,2998,3178,3358,3538,3801,4064,4327,4590,4853,4645,4436,4227,4019,3810,3359,2908,2457,2007,1556
Hombres,22,446,481,516,551,586,621,661,700,740,779,819,865,912,958,1004,1051,1270,1490,1709,1928,2148,2338,2529,2720,2911,3101,3390,3678,3967,4255,4544,4383,4223,4063,3903,3742,3310,2877,2444,2011,1578
Hombres,23,374,404,433,462,492,521,555,589,623,657,692,732,771,811,851,891,1078,1266,1453,1640,1828,2010,2192,2374,2556,2738,3022,3306,3590,3873,4157,4035,3912,3790,3667,3545,3146,2748,2349,1950,1551
Hombres,24,330,355,380,406,431,456,486,516,546,576,606,642,678,714,750,786,952,1119,1286,1452,1619,1780,1941,2102,2262,2423,2682,2941,3200,3459,3718,3627,3535,3443,3352,3260,2906,2551,2197,1843,1489
Hombres,25,274,294,315,335,355,376,401,426,451,476,501,532,562,593,624,655,795,936,1077,1218,1358,1498,1638,1778,1918,2058,2294,2530,2765,3001,3237,3180,3123,3066,3009,2952,2646,2339,2032,1726,1419
Hombres,26,213,228,243,258,273,288,308,328,347,367,387,412,437,462,487,512,624,736,848,961,1073,1190,1307,1424,1541,1657,1867,2077,2287,2497,2707,2688,2668,2649,2629,2610,2355,2101,1847,1592,1338
