Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0.00,3,6,10,14,17,21,36,51,66,82,97,99,101,102,104,106,124,142,160,178,196,210,224,238,251,265,273,282,290,298,306,431,556,681,806,931,873,814,756,698,640
Hombres,1.00,3,6,10,13,17,21,32,43,54,65,76,78,79,81,83,84,100,115,131,146,162,174,187,199,212,225,233,241,249,257,265,372,480,587,694,802,750,699,647,596,544
Hombres,2.00,2,6,9,13,16,19,27,35,42,50,58,59,61,63,64,66,79,92,105,119,132,143,155,166,177,189,196,204,212,220,228,319,410,501,593,684,639,595,550,506,461
Hombres,3.00,2,5,8,11,14,17,22,27,32,38,43,44,46,47,48,50,61,72,84,95,106,116,127,137,147,157,165,172,179,186,194,270,347,424,501,578,540,502,465,427,389
Hombres,4.00,2,4,7,10,12,15,18,21,24,27,30,31,33,34,36,37,46,56,66,75,85,94,103,112,121,130,137,143,150,156,163,227,291,355,419,484,452,421,390,359,327
Hombres,5.00,2,4,6,8,10,12,13,15,17,18,20,21,23,24,25,26,35,43,51,59,67,75,83,91,99,107,113,119,124,130,136,189,242,295,348,400,375,350,325,300,275
Hombres,6.00,1,3,4,6,8,9,10,10,11,12,12,14,15,16,17,18,25,32,39,45,52,59,66,73,80,87,93,98,103,108,113,156,199,243,286,329,309,290,270,251,232
Hombres,7.00,1,2,3,4,5,7,7,7,7,7,7,8,9,10,11,12,18,24,29,35,41,47,53,59,65,72,76,81,85,89,94,129,164,199,233,268,254,239,225,210,196
Hombres,8.00,1,2,2,3,4,5,4,4,4,4,4,5,6,7,7,8,13,18,23,28,32,38,43,49,54,59,63,67,71,75,79,107,135,163,191,219,208,198,188,177,167
Hombres,9.00,1,2,2,3,3,4,3,3,3,3,2,3,4,5,5,6,10,14,19,23,27,31,36,41,45,50,53,57,61,64,68,90,113,135,158,181,173,166,159,151,144
Hombres,10.00,1,1,2,2,2,3,3,3,3,3,3,3,4,5,5,6,10,13,17,21,24,28,32,36,40,44,48,51,55,58,62,81,99,118,137,156,150,145,140,134,129
Hombres,11.00,1,1,1,1,1,1,2,2,3,4,4,5,6,6,7,8,11,15,18,22,25,29,32,36,39,43,46,50,54,57,61,78,95,113,130,147,143,138,133,129,124
Hombres,12.00,2,2,3,3,4,5,5,6,6,7,8,8,9,9,9,10,13,16,20,23,26,29,32,35,38,42,46,50,55,59,63,79,94,110,126,141,136,131,125,120,115
Hombres,13.00,4,6,9,11,13,16,15,15,14,14,13,13,12,12,12,11,14,17,20,23,25,28,31,33,36,38,44,50,57,63,69,81,94,107,119,132,124,117,109,102,94
Hombres,14.00,6,11,17,22,27,32,29,27,25,23,20,19,17,16,14,13,15,18,20,23,25,27,29,31,33,35,44,52,61,70,79,88,98,107,117,127,115,104,93,81,70
Hombres,15.00,9,16,24,32,39,47,43,39,35,31,27,25,23,20,18,16,18,20,22,24,26,28,30,31,33,35,46,57,68,80,91,99,107,116,124,132,116,101,85,69,54
Hombres,16.00,11,22,32,42,52,62,57,51,46,40,35,31,28,25,21,18,20,22,24,26,27,29,30,31,33,34,48,61,75,89,102,109,116,123,130,136,117,98,79,59,40
Hombres,17.00,13,25,37,49,61,73,67,61,55,49,43,39,36,32,29,25,27,30,32,35,38,39,41,42,44,45,63,80,97,114,132,145,157,170,183,196,167,137,108,79,50
Hombres,18.00,14,27,39,51,64,76,71,67,62,57,53,50,47,44,42,39,43,48,52,57,61,64,67,69,72,75,97,120,142,164,187,217,247,276,306,336,287,239,190,141,93
Hombres,19.00,14,26,38,50,62,74,71,69,67,64,62,61,60,59,58,57,64,71,78,85,93,97,102,106,111,115,144,172,200,229,257,311,364,418,472,525,452,378,305,231,158
Hombres,20.00,15,26,37,49,60,72,72,72,72,71,71,72,72,73,73,74,84,93,103,113,123,129,135,141,148,154,188,222,256,290,325,401,478,555,631,708,611,513,416,319,222
Hombres,21.00,15,26,37,48,58,69,72,74,76,79,81,83,85,87,89,91,104,116,129,141,153,161,169,177,185,193,233,274,314,354,394,494,595,695,795,895,773,651,529,407,285
Hombres,22.00,14,25,35,45,55,65,70,74,78,82,86,89,93,96,100,103,118,132,147,161,176,186,195,205,215,224,269,313,357,401,446,566,685,805,925,1045,907,769,630,492,354
Hombres,23.00,13,23,32,41,50,60,64,69,74,79,83,88,92,96,101,105,121,137,153,169,185,196,208,219,231,242,287,332,377,422,467,600,733,866,999,1132,991,850,709,568,427
Hombres,24.00,12,20,28,36,45,53,58,62,67,72,76,81,86,91,95,100,117,133,150,167,184,197,210,224,237,250,294,337,381,424,468,609,750,892,1033,1174,1040,905,771,636,501
Hombres,25.00,10,17,24,31,38,46,50,55,60,64,69,74,80,85,90,96,113,131,148,166,183,198,213,228,244,259,301,343,385,427,469,619,769,919,1068,1218,1089,960,831,702,574
Hombres,26.00,9,14,20,26,32,38,42,47,52,56,61,67,73,79,85,91,109,127,145,163,182,199,216,232,249,266,307,347,387,428,468,626,784,942,1100,1258,1136,1014,892,770,648
Hombres,27.00,7,12,17,21,26,31,36,40,45,50,54,60,67,73,79,85,104,122,140,159,177,195,213,231,249,267,306,345,384,423,462,624,786,948,1110,1272,1156,1040,924,808,692
Hombres,28.00,7,11,15,19,23,27,31,36,41,45,50,56,62,68,75,81,99,116,134,152,170,187,205,222,240,257,297,336,375,415,454,615,775,935,1095,1255,1143,1030,917,804,692
Hombres,29.00,6,10,14,17,21,24,29,33,38,42,47,53,59,65,71,77,93,110,126,143,160,176,192,209,225,241,282,322,363,403,444,598,753,907,1062,1216,1105,994,883,772,661
Hombres,30.00,6,9,12,15,19,22,26,30,34,39,43,49,54,60,66,71,87,102,118,133,148,163,179,194,209,224,265,306,347,388,429,577,725,873,1021,1169,1061,953,846,738,631
Hombres,31.00,6,8,11,14,16,19,23,27,31,35,39,44,50,55,60,66,80,94,108,122,136,149,163,177,191,204,246,287,328,370,411,551,691,831,971,1110,1007,904,801,698,594
Hombres,32.00,5,8,10,13,15,17,21,25,28,32,35,40,45,50,55,60,72,85,98,110,123,136,148,161,173,186,227,268,309,350,391,523,656,788,920,1052,954,855,756,658,559
Hombres,33.00,5,8,10,13,15,17,20,23,26,30,33,37,41,45,49,54,65,77,88,100,111,123,135,146,158,170,210,250,290,330,370,496,623,749,875,1002,907,813,719,625,531
Hombres,34.00,6,8,11,13,16,19,21,23,26,28,30,34,37,41,44,48,58,69,80,90,101,112,123,134,145,156,194,232,271,309,347,469,590,712,833,955,865,775,686,596,506
Hombres,35.00,6,9,12,14,17,20,21,23,25,27,28,31,34,37,39,42,52,61,71,80,89,100,110,120,130,141,177,214,251,287,324,439,555,670,786,902,817,731,646,561,476
Hombres,36.00,6,9,12,16,19,22,23,24,25,26,27,29,30,32,34,36,45,53,61,70,78,87,97,106,115,125,160,194,229,264,299,408,517,626,735,845,764,683,603,522,442
Hombres,37.00,7,10,13,16,19,22,23,23,24,24,25,26,27,29,30,31,39,46,54,61,68,77,86,94,103,112,145,178,211,244,277,379,482,584,687,789,714,639,563,488,412
Hombres,38.00,7,9,12,15,18,21,21,22,22,22,22,23,24,26,27,28,34,41,48,55,62,70,78,86,94,103,134,165,197,228,260,355,451,547,643,738,669,599,530,461,391
Hombres,39.00,6,9,11,14,16,18,19,19,19,20,20,21,22,23,24,25,31,37,44,50,57,65,73,81,89,97,126,156,186,216,246,335,423,512,601,690,627,564,501,438,375
Hombres,40.00,6,8,10,12,14,16,17,17,17,18,18,19,19,20,21,22,28,34,40,46,52,60,67,75,83,91,119,147,175,203,231,313,396,478,560,642,585,529,472,415,358
Hombres,41.00,6,7,9,11,12,14,14,15,15,15,16,16,17,18,19,19,25,31,36,42,48,55,63,70,78,86,112,138,165,191,217,293,368,443,519,594,544,494,443,393,343
Hombres,42.00,6,7,8,10,11,13,13,13,14,14,14,15,16,16,17,18,23,28,33,39,44,51,59,66,73,81,105,130,154,179,203,272,342,411,480,549,504,459,414,369,323
Hombres,43.00,5,7,9,10,12,13,13,14,14,14,14,14,15,15,16,16,21,26,31,36,41,48,55,62,68,75,98,120,143,166,188,252,316,380,445,509,466,424,382,340,297
