sexo,edad,year,Valor
Hombres,0,2016,0.999907149
Hombres,1,2016,0.986465279
Hombres,2,2016,0.979530136
Hombres,3,2016,0.97681413
Hombres,4,2016,0.976409332
Hombres,5,2016,0.977516461
Hombres,6,2016,0.978969619
Hombres,7,2016,0.981073546
Hombres,8,2016,0.982852218
Hombres,9,2016,0.983883028
Hombres,10,2016,0.984963187
Hombres,11,2016,0.987653095
Hombres,12,2016,0.983730448
Hombres,13,2016,0.971578735
Hombres,14,2016,0.954788484
Hombres,15,2016,0.938483984
Hombres,16,2016,0.920543
Hombres,17,2016,0.907625143
Hombres,18,2016,0.904289931
Hombres,19,2016,0.908601168
Hombres,20,2016,0.913212258
Hombres,21,2016,0.919487008
Hombres,22,2016,0.926914394
Hombres,23,2016,0.933786629
Hombres,24,2016,0.940367307
Hombres,25,2016,0.949201825
Hombres,26,2016,0.960434464
Hombres,27,2016,0.970086526
Hombres,28,2016,0.976428954
Hombres,29,2016,0.979291458
Hombres,30,2016,0.982562043
Hombres,31,2016,0.985235292
Hombres,32,2016,0.986964024
Hombres,33,2016,0.988894843
Hombres,34,2016,0.990649154
Hombres,35,2016,0.991472588
Hombres,36,2016,0.991498591
Hombres,37,2016,0.992141063
Hombres,38,2016,0.99318562
Hombres,39,2016,0.994574864
Hombres,40,2016,0.995672573
Hombres,41,2016,0.996628604
Hombres,42,2016,0.997101429
Hombres,43,2016,0.996991478
Hombres,44,2016,0.99686487
Hombres,45,2016,0.996570439
Hombres,46,2016,0.995989986
Hombres,47,2016,0.995884568
Hombres,48,2016,0.995963915
Hombres,49,2016,0.996044013
Hombres,50,2016,0.996080943
Hombres,51,2016,0.996224074
Hombres,52,2016,0.996285292
Hombres,53,2016,0.996472327
Hombres,54,2016,0.996716455
Hombres,55,2016,0.997067725
Hombres,56,2016,0.997227101
Hombres,57,2016,0.997190173
Hombres,58,2016,0.997121569
Hombres,59,2016,0.997234329
Hombres,60,2016,0.997378991
Hombres,61,2016,0
Hombres,62,2016,0
Hombres,63,2016,0
Hombres,64,2016,0
Hombres,65,2016,0
Hombres,66,2016,0
Hombres,67,2016,0
Hombres,68,2016,0
Hombres,69,2016,0
Hombres,70,2016,0
Hombres,71,2016,0
Hombres,72,2016,0
Hombres,73,2016,0
Hombres,74,2016,0
Hombres,75,2016,0
Hombres,76,2016,0
Hombres,77,2016,0
Hombres,78,2016,0
Hombres,79,2016,0
Hombres,80,2016,0
Hombres,81,2016,0
Hombres,82,2016,0
Hombres,83,2016,0
Hombres,84,2016,0
Hombres,85,2016,0
Hombres,86,2016,0
Hombres,87,2016,0
Hombres,88,2016,0
Hombres,89,2016,0
Hombres,90,2016,0
Hombres,91,2016,0
Hombres,92,2016,0
Hombres,93,2016,0
