Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0,48896,48440,47824,47224,46664,46376,46599,47091,47587,48071,48544,49004,49459,49919,50332,50122,49350,48531,47627,46632,45506,44724,44376,44039,43712,43208,42523,41852,41222,40648,40047,39693,39671,39694,39741,39739,39652,39533,39376,39197,38963
Hombres,1,46003,45871,45510,45013,44543,44354,44698,45336,45994,46636,47260,47868,48459,49050,49628,49530,48805,48144,47463,46659,45761,45160,44868,44554,44258,43711,42918,42185,41494,40862,40290,40000,39983,39962,39984,39971,39851,39709,39567,39401,39217
Hombres,2,44068,44147,44052,43740,43297,43134,43524,44214,44937,45670,46387,47089,47777,48452,49132,49170,48498,47838,47290,46692,45973,45557,45403,45127,44836,44274,43413,42601,41870,41196,40589,40360,40408,40363,40311,40260,40142,39973,39808,39655,39483
Hombres,3,42308,42569,42660,42585,42301,42158,42574,43293,44042,44817,45602,46373,47131,47878,48615,48739,48197,47583,47029,46561,46044,45772,45769,45625,45366,44788,43908,43054,42264,41565,40930,40668,40762,40773,40685,40565,40427,40261,40069,39889,39726
Hombres,4,40605,41010,41270,41366,41302,41309,41745,42479,43239,44023,44834,45657,46467,47265,48054,48236,47790,47302,46788,46314,45925,45821,45930,45934,45803,45250,44362,43506,42685,41935,41282,40976,41012,41071,41038,40900,40712,40521,40331,40123,39929
Hombres,5,38964,39445,39840,40096,40192,40410,40990,41733,42492,43274,44080,44915,45763,46598,47421,47664,47298,46906,46512,46078,45685,45672,45913,46027,46044,45622,44770,43918,43101,42324,41623,41273,41236,41241,41261,41201,41016,40773,40555,40344,40117
Hombres,6,37396,37911,38378,38763,39009,39377,40156,41029,41783,42553,43346,44165,45013,45872,46718,47015,46739,46427,46123,45806,45454,45399,45693,45938,46066,45798,45091,44283,43474,42702,41975,41547,41435,41375,41349,41365,41276,41031,40760,40520,40287
Hombres,7,35890,36428,36927,37379,37748,38255,39169,40225,41098,41853,42623,43417,44238,45086,45944,46290,46102,45879,45648,45419,45183,45131,45346,45645,45903,45756,45219,44562,43801,43036,42314,41828,41607,41480,41397,41388,41388,41234,40960,40665,40400
Hombres,8,34471,34999,35520,36001,36434,37051,38082,39256,40303,41167,41912,42673,43459,44270,45105,45495,45393,45255,45106,44946,44793,44819,45001,45222,45533,45530,45134,44651,44041,43324,42610,42096,41787,41559,41418,41368,41351,41282,41100,40802,40482
Hombres,9,33166,33662,34172,34672,35132,35798,36912,38185,39340,40368,41211,41937,42679,43443,44229,44630,44612,44557,44485,44402,44314,44385,44609,44796,45028,45094,44863,44525,44091,43526,42862,42326,41958,41648,41412,41316,41266,41177,41080,40874,40551
Hombres,10,31973,32439,32915,33403,33879,34557,35690,37025,38268,39391,40387,41198,41892,42599,43327,43714,43749,43772,43774,43762,43744,43845,44082,44310,44508,44515,44375,44207,43921,43533,43022,42506,42086,41725,41413,41234,41143,41015,40900,40778,40547
Hombres,11,30850,31299,31745,32199,32662,33341,34453,35785,37080,38281,39362,40314,41083,41731,42392,42760,42825,42896,42968,43022,43068,43206,43443,43684,43923,43915,43740,43665,43547,43306,42973,42580,42153,41750,41396,41153,40980,40807,40653,40512,40366
Hombres,12,29753,30195,30624,31049,31480,32130,33210,34501,35786,37033,38183,39212,40114,40830,41424,41768,41857,41953,42063,42178,42283,42455,42704,42944,43195,43245,43075,42967,42940,42862,42672,42429,42107,41708,41322,41048,40810,40551,40352,40175,40011
Hombres,13,28640,29086,29509,29919,30320,30922,31939,33177,34415,35647,36837,37930,38902,39744,40400,40720,40825,40938,41063,41208,41366,41571,41832,42082,42331,42413,42322,42219,42155,42163,42130,42014,41834,41550,41181,40881,40607,40281,39999,39780,39581
Hombres,14,27465,27929,28356,28758,29144,29699,30632,31784,32963,34141,35308,36433,37462,38367,39141,39557,39674,39789,39915,40063,40244,40478,40755,41015,41274,41383,41357,41339,41279,41244,41291,41330,41282,41159,40923,40641,40335,39971,39627,39331,39094
Hombres,15,26190,26679,27122,27527,27903,28424,29273,30318,31404,32513,33617,34712,35765,36718,37545,38107,38346,38455,38560,38696,38872,39106,39397,39667,39934,40086,40133,40199,40221,40178,40178,40310,40441,40486,40439,40285,39988,39595,39220,38868,38560
Hombres,16,24824,25337,25802,26220,26595,27087,27866,28807,29780,30789,31820,32847,33863,34832,35698,36338,36746,36962,37033,37134,37289,37496,37768,38044,38312,38488,38625,38790,38891,38913,38898,39011,39272,39537,39689,39714,39536,39157,38759,38383,38027
Hombres,17,23417,23949,24436,24873,25259,25733,26451,27305,28172,29068,29998,30949,31896,32826,33704,34404,34917,35290,35439,35493,35603,35766,35992,36241,36502,36673,36865,37140,37333,37413,37450,37578,37860,38289,38685,38898,38888,38631,38253,37862,37490
Hombres,18,22037,22574,23077,23534,23937,24406,25079,25861,26644,27438,28259,29114,29989,30854,31697,32430,33027,33499,33783,33899,33948,34049,34214,34412,34634,34776,34975,35317,35609,35763,35844,36042,36367,36840,37415,37855,38020,37936,37684,37321,36940
Hombres,19,20733,21258,21767,22240,22662,23135,23781,24510,25227,25944,26671,27425,28212,29013,29799,30517,31164,31719,32095,32332,32424,32457,32550,32683,32842,32922,33090,33441,33790,34030,34172,34423,34833,35354,35975,36575,36957,37055,36977,36744,36397
Hombres,20,19533,20035,20534,21012,21449,21931,22563,23260,23931,24591,25249,25918,26614,27336,28068,28746,29391,29996,30457,30777,30971,31044,31066,31126,31213,31219,31319,31630,31981,32272,32490,32799,33267,33863,34526,35155,35690,36010,36114,36058,35843
Hombres,21,18427,18917,19394,19863,20305,20794,21420,22100,22747,23369,23979,24588,25207,25849,26513,27151,27764,28367,28885,29284,29550,29725,29785,29773,29784,29719,29737,29965,30274,30569,30834,31212,31735,32371,33095,33749,34309,34789,35113,35241,35205
Hombres,22,17433,17887,18353,18801,19234,19722,20344,21018,21655,22260,22840,23408,23976,24551,25145,25726,26301,26874,27400,27855,28194,28445,28607,28630,28569,28436,28377,28507,28734,28993,29262,29679,30261,30931,31678,32377,32960,33476,33960,34308,34455
Hombres,23,16534,16960,17391,17829,18243,18718,19332,20002,20639,21242,21811,22357,22892,23424,23960,24478,24997,25535,26040,26505,26897,27225,27466,27587,27559,27369,27240,27277,27406,27593,27828,28243,28855,29562,30324,31032,31659,32209,32732,33239,33603
Hombres,24,15693,16120,16524,16929,17334,17788,18385,19047,19686,20295,20868,21409,21928,22433,22934,23399,23854,24338,24817,25265,25668,26056,26380,26580,26649,26505,26318,26268,26304,26403,26571,26949,27548,28263,29045,29757,30395,30999,31556,32103,32625
Hombres,25,15041,15330,15736,16115,16489,16932,17505,18152,18789,19406,19990,20540,21060,21555,22036,22467,22866,23289,23724,24150,24539,24946,25337,25620,25768,25735,25591,25468,25418,25432,25516,25824,26379,27064,27839,28562,29207,29832,30442,31023,31584
Hombres,26,14516,14717,14988,15369,15719,16132,16693,17317,17945,18564,19160,19726,20259,20760,21235,21646,22010,22381,22762,23150,23523,23925,24343,24695,24928,24989,24952,24856,24733,24667,24671,24896,25375,25999,26731,27441,28101,28741,29370,30002,30595
Hombres,27,13997,14223,14409,14660,15014,15403,15933,16547,17156,17768,18371,18953,19505,20022,20506,20910,21252,21591,21928,22269,22609,23002,23423,23805,24111,24270,24326,24322,24224,24090,24019,24163,24554,25089,25749,26413,27066,27727,28369,29018,29658
Hombres,28,13530,13727,13938,14107,14335,14729,15235,15819,16421,17017,17616,18208,18779,19317,19821,20235,20569,20890,21201,21504,21803,22171,22589,22978,23319,23562,23715,23792,23784,23678,23542,23611,23917,24352,24914,25505,26118,26776,27438,28097,28752
Hombres,29,13107,13278,13462,13658,13807,14078,14587,15148,15722,16313,16899,17488,18070,18628,19155,19589,19933,20251,20550,20833,21102,21435,21832,22221,22573,22862,23100,23267,23339,23323,23216,23221,23448,23788,24240,24734,25281,25904,26561,27236,27899
Hombres,30,12720,12866,13027,13198,13376,13571,13957,14520,15072,15637,16220,16797,17378,17949,18498,18956,19322,19653,19953,20230,20485,20790,21155,21527,21884,22194,22479,22725,22885,22951,22934,22967,23126,23377,23727,24115,24571,25131,25750,26418,27094
Hombres,31,12354,12488,12627,12777,12933,13157,13465,13905,14460,15005,15562,16136,16706,17277,17839,18321,18715,19070,19389,19672,19925,20218,20556,20900,21244,21568,21875,22165,22404,22559,22624,22744,22925,23100,23355,23642,23999,24470,25025,25653,26319
Hombres,32,12011,12132,12260,12390,12528,12731,13064,13425,13858,14407,14943,15493,16060,16621,17183,17682,18103,18489,18835,19139,19403,19694,20021,20342,20662,20980,21303,21613,21896,22130,22285,22484,22746,22935,23107,23302,23565,23937,24402,24964,25588
Hombres,33,11714,11794,11911,12034,12156,12340,12648,13032,13386,13813,14354,14884,15427,15985,16537,17041,17484,17899,18277,18611,18899,19200,19524,19837,20139,20439,20756,21079,21383,21663,21897,22181,22515,22780,22961,23078,23255,23534,23899,24368,24923
Hombres,34,11427,11503,11581,11695,11812,11979,12263,12619,12997,13345,13766,14300,14823,15358,15907,16405,16858,17296,17704,18072,18392,18716,19050,19364,19662,19948,20248,20564,20881,21183,21463,21821,22233,22564,22817,22948,23054,23246,23516,23882,24343
Hombres,35,11114,11221,11298,11376,11487,11647,11908,12237,12588,12960,13302,13716,14244,14759,15285,15786,16237,16685,17117,17516,17870,18224,18582,18910,19213,19497,19781,20079,20391,20708,21011,21408,21886,22291,22606,22816,22943,23062,23242,23509,23864
Hombres,36,10801,10914,11022,11100,11177,11330,11578,11881,12205,12551,12917,13255,13664,14184,14691,15173,15631,16077,16519,16941,17327,17715,18105,18459,18779,19070,19350,19633,19927,20239,20558,20971,21479,21947,22335,22615,22825,22962,23065,23240,23493
Hombres,37,10501,10605,10721,10832,10910,11027,11261,11548,11847,12167,12507,12869,13202,13605,14118,14586,15029,15481,15922,16354,16763,17184,17609,17996,18345,18652,18937,19216,19496,19792,20108,20529,21044,21541,21989,22349,22635,22851,22970,23065,23222
Hombres,38,10219,10312,10420,10539,10650,10766,10959,11228,11511,11806,12122,12458,12816,13144,13541,14018,14450,14887,15333,15764,16183,16628,17087,17511,17895,18230,18530,18813,19091,19374,19675,20086,20599,21101,21578,22007,22377,22664,22859,22966,23040
Hombres,39,9950,10035,10132,10244,10365,10511,10695,10920,11186,11466,11758,12071,12405,12758,13081,13445,13888,14314,14745,15182,15600,16056,16540,16999,17421,17791,18117,18416,18700,18982,19272,19660,20153,20653,21134,21598,22040,22406,22670,22851,22933
Hombres,40,9697,9771,9862,9964,10078,10230,10437,10651,10873,11138,11416,11706,12017,12346,12696,12989,13321,13758,14177,14598,15023,15478,15976,16461,16919,17326,17684,18009,18309,18599,18890,19258,19718,20197,20677,21153,21632,22065,22406,22653,22808
Hombres,41,9457,9524,9604,9699,9804,9947,10154,10388,10601,10823,11085,11362,11650,11958,12285,12606,12868,13195,13625,14034,14443,14906,15406,15905,16390,16832,17225,17584,17911,18218,18516,18876,19308,19755,20215,20696,21188,21653,22060,22382,22601
Hombres,42,9224,9290,9362,9447,9545,9675,9868,10101,10334,10547,10768,11030,11306,11593,11900,12198,12488,12745,13066,13486,13883,14332,14841,15341,15840,16307,16735,17129,17490,17825,18141,18501,18917,19337,19768,20234,20728,21200,21638,22024,22317
Hombres,43,8993,9062,9133,9210,9298,9419,9595,9811,10043,10278,10490,10712,10975,11251,11538,11816,12084,12368,12619,12931,13338,13777,14273,14782,15282,15763,16216,16644,17041,17409,17753,18123,18533,18938,19343,19783,20261,20731,21177,21593,21950
Hombres,44,8753,8837,8910,8985,9065,9174,9337,9535,9751,9985,10221,10435,10659,10923,11199,11457,11704,11966,12244,12487,12788,13238,13724,14220,14729,15211,15676,16129,16559,16963,17340,17731,18146,18547,18940,19357,19805,20255,20699,21122,21508
Hombres,45,8483,8598,8686,8763,8840,8939,9088,9272,9471,9691,9927,10165,10383,10609,10874,11122,11346,11587,11843,12113,12345,12690,13188,13674,14170,14662,15128,15592,16046,16482,16894,17313,17744,18152,18543,18950,19371,19787,20210,20633,21026
Hombres,46,8178,8333,8451,8541,8620,8715,8851,9020,9207,9410,9632,9871,10114,10334,10563,10798,11010,11230,11466,11715,11974,12252,12646,13143,13629,14107,14581,15046,15511,15970,16412,16862,17319,17746,18146,18551,18957,19342,19733,20136,20529
Hombres,47,7883,8031,8188,8307,8398,8494,8624,8780,8953,9144,9351,9577,9821,10066,10290,10487,10686,10894,11109,11339,11578,11883,12210,12603,13100,13567,14027,14499,14964,15434,15898,16375,16861,17314,17735,18148,18546,18914,19276,19648,20023
Hombres,48,7586,7740,7888,8046,8165,8271,8402,8553,8713,8890,9085,9296,9528,9775,10024,10215,10375,10569,10774,10984,11205,11489,11842,12168,12560,13037,13487,13946,14418,14886,15360,15857,16369,16851,17299,17731,18131,18490,18837,19182,19528
Hombres,49,7291,7445,7599,7748,7904,8037,8178,8328,8484,8650,8831,9031,9248,9483,9735,9949,10101,10258,10450,10650,10852,11118,11449,11800,12124,12498,12959,13406,13864,14338,14810,15315,15845,16353,16831,17288,17702,18063,18403,18734,19056
Hombres,50,7035,7154,7308,7461,7608,7778,7945,8105,8260,8422,8592,8778,8983,9204,9443,9659,9832,9982,10138,10326,10519,10766,11076,11406,11756,12064,12421,12878,13324,13784,14260,14761,15297,15823,16326,16810,17246,17620,17964,18291,18601
Hombres,51,6777,6899,7019,7172,7323,7483,7685,7872,8038,8199,8364,8538,8731,8940,9165,9367,9542,9714,9863,10015,10199,10434,10723,11032,11359,11693,11985,12340,12796,13244,13706,14210,14739,15269,15789,16297,16757,17153,17513,17844,18151
Hombres,52,6516,6644,6766,6884,7035,7199,7392,7614,7805,7976,8141,8311,8492,8688,8901,9088,9249,9422,9594,9741,9889,10112,10388,10676,10984,11296,11614,11904,12258,12715,13164,13650,14180,14704,15228,15751,16233,16653,17035,17383,17697
Hombres,53,6255,6387,6514,6634,6750,6913,7110,7323,7548,7745,7919,8089,8265,8448,8647,8822,8968,9129,9303,9472,9616,9803,10065,10341,10628,10921,11219,11534,11822,12177,12634,13105,13615,14138,14654,15180,15677,16118,16525,16896,17226
Hombres,54,5993,6127,6257,6382,6501,6630,6826,7042,7258,7488,7688,7867,8041,8219,8406,8568,8702,8848,9009,9181,9347,9528,9752,10014,10290,10564,10842,11137,11450,11739,12095,12572,13064,13566,14079,14597,15096,15551,15981,16376,16729
Hombres,55,5735,5867,5999,6127,6250,6381,6543,6758,6977,7198,7430,7633,7817,7994,8175,8324,8445,8580,8727,8887,9057,9258,9475,9700,9963,10225,10484,10759,11051,11365,11655,12028,12523,13007,13499,14014,14504,14962,15404,15821,16198
Hombres,56,5488,5611,5739,5869,5994,6129,6293,6475,6692,6915,7137,7373,7580,7765,7944,8087,8198,8320,8457,8604,8762,8965,9202,9420,9647,9897,10144,10399,10671,10964,11278,11584,11973,12459,12932,13425,13913,14361,14805,15235,15633
Hombres,57,5256,5363,5483,5609,5735,5873,6041,6223,6408,6629,6853,7077,7316,7524,7710,7852,7958,8071,8196,8333,8478,8669,8905,9143,9364,9578,9812,10056,10309,10582,10876,11203,11523,11902,12376,12850,13316,13761,14196,14626,15035
Hombres,58,5043,5129,5233,5350,5473,5610,5780,5966,6152,6339,6561,6787,7014,7253,7461,7612,7719,7827,7942,8067,8203,8380,8604,8844,9086,9293,9490,9720,9962,10217,10491,10796,11133,11443,11811,12287,12733,13156,13587,14007,14417
Hombres,59,4848,4912,4996,5098,5211,5345,5514,5702,5890,6078,6267,6490,6718,6946,7183,7357,7475,7584,7694,7809,7934,8101,8310,8538,8782,9010,9198,9393,9622,9865,10120,10404,10716,11044,11343,11714,12161,12565,12974,13390,13790
Hombres,60,4672,4714,4776,4858,4955,5080,5245,5432,5622,5813,6001,6190,6416,6643,6869,7074,7216,7334,7444,7556,7670,7825,8025,8239,8473,8701,8909,9096,9290,9521,9765,10028,10317,10620,10937,11239,11582,11987,12377,12771,13167
Hombres,61,4511,4532,4571,4631,4709,4818,4974,5157,5346,5537,5727,5917,6110,6333,6559,6754,6927,7069,7189,7300,7410,7555,7743,7949,8171,8387,8594,8800,8986,9182,9414,9663,9930,10211,10504,10824,11100,11402,11793,12169,12542
Hombres,62,4358,4365,4384,4422,4479,4568,4708,4881,5065,5255,5446,5638,5830,6020,6243,6439,6603,6776,6919,7038,7147,7289,7469,7665,7878,8081,8274,8479,8684,8872,9069,9306,9559,9818,10091,10388,10681,10916,11205,11580,11935
Hombres,63,4205,4204,4209,4227,4262,4331,4452,4610,4784,4970,5159,5351,5545,5735,5925,6118,6285,6448,6620,6761,6878,7020,7198,7386,7590,7783,7960,8151,8354,8560,8751,8952,9192,9440,9693,9969,10237,10489,10713,10988,11342
Hombres,64,4047,4045,4043,4047,4064,4112,4212,4351,4510,4685,4870,5060,5253,5445,5634,5796,5961,6127,6289,6459,6597,6747,6926,7111,7306,7487,7653,7829,8019,8224,8432,8627,8833,9070,9313,9568,9813,10040,10281,10492,10747
Hombres,65,3878,3880,3877,3875,3879,3909,3989,4108,4248,4408,4582,4767,4959,5150,5339,5501,5637,5800,5964,6124,6290,6461,6650,6836,7029,7199,7351,7516,7690,7882,8089,8302,8503,8708,8941,9184,9406,9610,9826,10053,10246
Hombres,66,3698,3707,3708,3706,3703,3721,3783,3882,4003,4144,4302,4476,4662,4850,5039,5203,5339,5474,5636,5797,5953,6151,6360,6555,6747,6914,7055,7206,7369,7546,7740,7953,8174,8374,8578,8809,9015,9197,9391,9595,9804
Hombres,67,3509,3525,3533,3534,3532,3544,3594,3675,3776,3898,4037,4195,4370,4552,4737,4900,5039,5174,5308,5467,5624,5812,6047,6261,6462,6627,6763,6904,7054,7219,7398,7600,7822,8043,8244,8441,8631,8799,8972,9155,9342
Hombres,68,3315,3334,3349,3357,3359,3371,3416,3484,3567,3669,3789,3928,4086,4257,4436,4597,4736,4873,5007,5138,5292,5480,5705,5943,6162,6334,6469,6604,6744,6897,7065,7254,7467,7690,7912,8101,8255,8408,8569,8731,8898
Hombres,69,3120,3140,3158,3173,3182,3198,3241,3304,3374,3458,3559,3678,3817,3971,4138,4293,4432,4569,4704,4835,4962,5147,5371,5598,5839,6029,6171,6305,6439,6582,6737,6915,7117,7332,7556,7761,7905,8025,8172,8323,8472
Hombres,70,2928,2948,2966,2985,3001,3023,3069,3130,3194,3265,3348,3447,3566,3700,3850,3994,4129,4265,4400,4533,4660,4817,5034,5258,5487,5700,5860,6001,6134,6271,6416,6584,6778,6981,7195,7399,7555,7667,7782,7921,8059
Hombres,71,2738,2759,2777,2797,2817,2845,2896,2957,3019,3084,3153,3234,3333,3448,3577,3707,3832,3964,4097,4230,4358,4513,4702,4920,5145,5346,5529,5687,5826,5960,6099,6258,6442,6637,6840,7031,7183,7309,7418,7527,7654
Hombres,72,2549,2573,2593,2614,2635,2666,2720,2784,2846,2908,2970,3038,3119,3213,3322,3433,3546,3669,3798,3929,4056,4211,4395,4583,4801,5000,5173,5353,5508,5649,5785,5939,6114,6298,6491,6667,6806,6931,7054,7158,7257
Hombres,73,2357,2390,2414,2436,2458,2489,2544,2610,2674,2735,2794,2854,2922,2997,3086,3180,3276,3386,3507,3633,3760,3911,4091,4274,4462,4654,4827,4997,5172,5327,5468,5619,5790,5965,6147,6311,6434,6548,6671,6789,6884
Hombres,74,2159,2204,2236,2263,2286,2317,2369,2434,2499,2562,2620,2676,2736,2798,2869,2945,3026,3121,3229,3347,3468,3616,3790,3968,4150,4315,4483,4652,4817,4991,5145,5300,5469,5638,5809,5959,6071,6173,6286,6404,6514
Hombres,75,1958,2014,2058,2091,2119,2150,2199,2259,2323,2386,2445,2500,2556,2610,2668,2728,2794,2874,2968,3073,3185,3325,3492,3664,3840,4000,4144,4308,4471,4634,4806,4974,5145,5309,5473,5610,5710,5804,5906,6016,6127
Hombres,76,1756,1822,1876,1920,1955,1988,2035,2091,2150,2211,2270,2326,2380,2430,2480,2529,2581,2646,2725,2815,2915,3044,3201,3365,3535,3692,3833,3972,4129,4289,4450,4633,4815,4980,5138,5267,5357,5442,5536,5636,5738
Hombres,77,1559,1629,1691,1745,1789,1828,1874,1926,1980,2036,2093,2149,2203,2252,2297,2339,2383,2435,2499,2575,2662,2776,2919,3073,3234,3385,3524,3660,3793,3947,4104,4275,4469,4643,4800,4923,5008,5086,5172,5265,5359
Hombres,78,1373,1441,1507,1569,1622,1668,1716,1765,1815,1867,1919,1972,2025,2074,2117,2157,2196,2239,2290,2352,2424,2522,2649,2789,2940,3085,3220,3353,3482,3612,3763,3928,4107,4292,4455,4577,4660,4736,4816,4901,4989
Hombres,79,1201,1263,1328,1392,1452,1505,1557,1607,1655,1702,1750,1798,1849,1896,1939,1978,2015,2054,2096,2145,2203,2286,2396,2520,2657,2793,2923,3052,3178,3303,3430,3586,3757,3927,4099,4229,4315,4390,4468,4547,4627
