1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
47918,47424,46774,46137,45535,45224,45463,45991,46521,47038,47546,48043,48537,49036,49499,49274,48412,47499,46491,45406,44209,43399,43044,42678,42336,41869,41227,40571,39941,39358,38761,38394,38337,38354,38382,38354,38276,38146,37995,37837,37603
45346,45149,44726,44168,43632,43396,43736,44389,45059,45712,46348,46969,47577,48186,48785,48672,47896,47161,46361,45452,44487,43869,43570,43199,42847,42347,41660,40983,40299,39643,39053,38740,38682,38671,38709,38677,38561,38412,38271,38142,37971
43537,43534,43360,42972,42455,42234,42606,43295,44013,44737,45443,46132,46809,47476,48148,48160,47473,46804,46180,45483,44701,44272,44120,43803,43433,42861,42108,41416,40736,40045,39405,39135,39135,39084,39057,39025,38907,38736,38577,38442,38297
41859,42028,42027,41863,41493,41283,41666,42364,43088,43833,44583,45316,46033,46739,47438,47535,47003,46426,45872,45356,44791,44498,44488,44324,44009,43386,42549,41815,41141,40471,39812,39495,39522,39511,39425,39336,39234,39066,38880,38715,38559
40219,40515,40676,40674,40513,40440,40827,41519,42232,42965,43719,44478,45220,45946,46663,46821,46419,45998,45538,45098,44716,44587,44664,44648,44487,43902,43012,42211,41510,40857,40228,39875,39830,39840,39789,39661,39519,39364,39175,38974,38785
38609,38987,39271,39422,39414,39538,40047,40727,41419,42129,42857,43606,44361,45097,45817,46040,45754,45463,45158,44813,44506,44504,44693,44771,44762,44326,43477,42635,41876,41202,40594,40245,40135,40072,40043,39974,39812,39614,39430,39218,38988
37036,37468,37829,38098,38236,38500,39185,39971,40639,41317,42012,42726,43460,44198,44916,45197,45035,44859,44680,44488,44275,44291,44554,44748,44836,44552,43859,43066,42273,41547,40922,40565,40429,40304,40208,40181,40091,39866,39633,39420,39176
35515,35971,36383,36727,36978,37374,38174,39118,39883,40529,41184,41855,42545,43253,43963,44302,44262,44206,44138,44069,44002,44057,44287,44560,44767,44585,44052,43421,42683,41928,41256,40853,40678,40532,40379,40300,40258,40098,39835,39570,39324
34072,34519,34954,35347,35670,36163,37066,38107,39022,39757,40373,40997,41637,42294,42966,43358,43438,43498,43545,43581,43631,43779,43999,44243,44530,44476,44055,43589,43015,42319,41623,41141,40889,40709,40540,40418,40328,40210,40011,39716,39419
32732,33150,33576,33990,34360,34908,35875,36999,38003,38880,39576,40153,40738,41337,41950,42366,42561,42733,42887,43029,43175,43389,43657,43895,44157,44194,43915,43566,43160,42632,41998,41461,41099,40846,40649,40521,40390,40218,40062,39830,39502
31496,31885,32281,32685,33075,33652,34640,35806,36884,37842,38672,39320,39850,40386,40933,41348,41627,41903,42158,42397,42639,42901,43195,43483,43739,43764,43592,43388,43104,42748,42285,41780,41332,40974,40710,40563,40426,40207,39997,39808,39543
30325,30701,31069,31444,31824,32403,33385,34551,35668,36695,37600,38376,38972,39447,39927,40334,40666,41011,41356,41682,42004,42319,42628,42945,43255,43289,43122,43027,42889,42655,42363,41997,41553,41118,40758,40551,40392,40161,39905,39662,39440
29189,29558,29912,30260,30611,31164,32116,33260,34376,35441,36414,37264,37986,38526,38946,39339,39709,40092,40488,40887,41279,41639,41975,42308,42648,42749,42605,42513,42481,42390,42217,41994,41667,41246,40820,40524,40300,40042,39776,39489,39214
28056,28430,28779,29112,29436,29947,30843,31944,33041,34108,35121,36042,36839,37506,37992,38371,38761,39163,39577,40009,40454,40855,41220,41583,41941,42084,42017,41947,41915,41923,41888,41763,41567,41273,40873,40512,40189,39863,39573,39279,38962
26904,27300,27653,27980,28290,28760,29588,30623,31680,32729,33747,34709,35579,36323,36938,37414,37810,38212,38625,39056,39514,39950,40349,40741,41128,41301,41289,41296,41282,41285,41343,41343,41241,41089,40827,40487,40087,39664,39314,39001,38682
25722,26146,26518,26848,27150,27594,28360,29318,30312,31324,32327,33296,34209,35028,35721,36343,36841,37229,37621,38030,38469,38908,39341,39768,40184,40392,40422,40488,40550,40565,40614,40708,40737,40693,40583,40370,39976,39481,39042,38675,38345
24505,24960,25359,25706,26010,26436,27157,28046,28965,29917,30885,31842,32764,33628,34396,35102,35739,36209,36567,36938,37340,37756,38201,38664,39113,39347,39421,39537,39658,39739,39797,39892,40026,40128,40138,40062,39781,39299,38798,38353,37978
23275,23753,24180,24551,24870,25288,25976,26814,27668,28550,29461,30385,31298,32173,32988,33763,34470,35060,35483,35807,36155,36539,36975,37450,37933,38189,38292,38460,38632,38765,38884,39001,39152,39375,39541,39570,39413,39051,38572,38073,37629
22060,22546,22994,23391,23732,24156,24824,25626,26434,27254,28098,28970,29855,30724,31553,32364,33123,33770,34297,34673,34961,35303,35724,36191,36683,36958,37081,37285,37506,37681,37848,38039,38228,38479,38773,38942,38879,38651,38298,37829,37340
20892,21368,21822,22238,22603,23043,23709,24489,25264,26043,26831,27642,28479,29326,30155,30964,31737,32427,33001,33471,33797,34095,34493,34944,35423,35695,35835,36060,36314,36534,36739,36988,37263,37558,37883,38163,38232,38108,37893,37555,37102
19794,20246,20690,21112,21494,21952,22627,23405,24164,24915,25666,26427,27210,28016,28828,29618,30368,31067,31678,32188,32595,32950,33326,33750,34206,34461,34596,34833,35104,35353,35598,35893,36236,36615,36982,37281,37456,37474,37368,37172,36853
18773,19200,19621,20033,20420,20893,21582,22369,23129,23868,24598,25328,26066,26824,27603,28356,29064,29739,30356,30898,31337,31793,32245,32640,33064,33299,33418,33644,33921,34186,34457,34796,35190,35630,36077,36404,36596,36730,36769,36686,36512
17820,18232,18630,19020,19397,19873,20573,21375,22149,22894,23617,24329,25042,25761,26498,27196,27845,28479,29074,29621,30086,30597,31168,31629,32019,32230,32333,32534,32794,33065,33348,33714,34156,34638,35138,35533,35754,35917,36075,36138,36078
16935,17332,17716,18084,18441,18907,19608,20422,21214,21976,22709,23418,24118,24816,25519,26154,26728,27306,27863,28389,28858,29417,30059,30630,31079,31268,31356,31531,31760,32014,32299,32678,33149,33669,34203,34641,34932,35136,35325,35508,35593
16117,16494,16865,17221,17558,18004,18694,19510,20317,21101,21853,22576,23276,23965,24651,25232,25724,26231,26738,27229,27678,28261,28967,29600,30151,30415,30491,30639,30836,31059,31325,31707,32191,32729,33291,33755,34095,34378,34608,34824,35029
15482,15718,16072,16418,16745,17172,17840,18645,19456,20257,21033,21778,22493,23185,23864,24410,24832,25264,25707,26153,26572,27153,27895,28586,29196,29579,29739,29864,30029,30220,30452,30815,31301,31841,32413,32901,33273,33612,33920,34177,34414
14955,15119,15337,15668,15988,16406,17053,17835,18636,19442,20237,21007,21746,22454,23137,23661,24036,24404,24779,25167,25546,26112,26861,27584,28249,28710,28999,29195,29333,29491,29690,30019,30486,31019,31586,32081,32484,32863,33225,33559,33835
14416,14619,14769,14972,15281,15691,16324,17082,17862,18659,19461,20250,21015,21747,22447,22964,23309,23637,23956,24283,24612,25149,25889,26617,27313,27847,28223,28537,28740,28869,29032,29327,29762,30267,30821,31310,31728,32143,32543,32928,33277
13930,14105,14296,14435,14621,15020,15640,16381,17138,17914,18707,19504,20288,21046,21771,22298,22630,22934,23220,23499,23774,24268,24982,25700,26400,26983,27443,27837,28151,28344,28476,28736,29137,29601,30121,30597,31018,31452,31885,32305,32703
13486,13638,13804,13986,14113,14391,14991,15715,16455,17209,17981,18770,19563,20342,21094,21641,21982,22279,22547,22798,23032,23476,24146,24837,25528,26132,26651,27121,27511,27814,28007,28237,28602,29026,29500,29944,30359,30799,31248,31697,32125
13080,13209,13355,13514,13687,13905,14377,15078,15801,16539,17290,18059,18845,19633,20405,20979,21342,21652,21919,22156,22368,22770,23388,24037,24704,25313,25863,26387,26851,27227,27527,27817,28151,28533,28961,29361,29753,30190,30642,31104,31559
12696,12816,12943,13086,13241,13501,13904,14473,15173,15894,16630,17378,18145,18926,19708,20306,20698,21034,21317,21556,21759,22137,22710,23308,23934,24532,25095,25646,26161,26611,26983,27379,27771,28115,28496,28854,29210,29625,30070,30532,30996
12335,12446,12567,12693,12834,13073,13510,14004,14571,15270,15990,16724,17470,18232,19009,19620,20041,20408,20719,20977,21185,21551,22096,22651,23229,23797,24355,24917,25459,25960,26403,26869,27364,27760,28098,28413,28735,29114,29535,29988,30448
12022,12097,12210,12333,12461,12683,13089,13611,14104,14670,15368,16087,16820,17563,18322,18932,19371,19769,20113,20400,20629,20996,21524,22053,22591,23120,23654,24209,24759,25286,25779,26313,26875,27369,27755,28033,28321,28665,29047,29472,29920
11719,11794,11873,11991,12116,12322,12700,13186,13709,14200,14766,15464,16183,16914,17655,18253,18696,19113,19488,19809,20067,20451,20977,21492,22008,22505,23002,23531,24075,24611,25129,25710,26336,26892,27372,27705,27964,28272,28616,28999,29415
11390,11501,11583,11668,11790,11990,12341,12794,13280,13802,14294,14859,15558,16276,17006,17591,18027,18450,18845,19197,19491,19901,20441,20956,21461,21939,22406,22898,23416,23945,24472,25074,25742,26358,26898,27333,27654,27931,28235,28576,28948
11058,11180,11298,11386,11478,11671,12005,12425,12879,13366,13889,14381,14948,15647,16365,16945,17373,17789,18191,18564,18889,19331,19895,20426,20934,21405,21855,22316,22797,23301,23822,24429,25112,25768,26366,26868,27298,27633,27902,28200,28525
10741,10857,10985,11110,11205,11363,11680,12079,12502,12957,13446,13972,14466,15034,15735,16308,16734,17143,17539,17919,18265,18735,19329,19887,20413,20888,21330,21774,22225,22694,23190,23786,24468,25137,25775,26344,26847,27286,27610,27869,28148
10441,10546,10668,10804,10936,11093,11366,11744,12146,12571,13030,13522,14051,14548,15119,15679,16103,16511,16900,17275,17629,18117,18737,19325,19879,20374,20820,21256,21691,22131,22593,23160,23824,24492,25143,25759,26334,26841,27265,27575,27812
10154,10254,10366,10495,10637,10825,11090,11421,11802,12208,12637,13100,13598,14131,14632,15065,15479,15885,16274,16642,16991,17485,18120,18736,19321,19844,20310,20752,21180,21606,22041,22568,23197,23848,24497,25134,25758,26330,26818,27225,27510
9879,9971,10077,10196,10331,10526,10815,11134,11470,11856,12267,12701,13171,13674,14214,14580,14869,15266,15654,16022,16367,16853,17490,18121,18733,19288,19782,20244,20680,21102,21524,22018,22602,23217,23850,24492,25139,25755,26307,26777,27156
9616,9704,9802,9914,10038,10222,10511,10852,11177,11518,11911,12329,12771,13248,13759,14165,14389,14662,15041,15409,15754,16232,16858,17491,18120,18703,19229,19721,20177,20607,21026,21502,22047,22618,23217,23849,24502,25134,25729,26260,26700
