1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
48896.00,48440.00,47824.00,47224.00,46664.00,46376.00,46599.00,47091.00,47587.00,48071.00,48544.00,49004.00,49459.00,49919.00,50332.00,50122.00,49350.00,48531.00,47627.00,46632.00,45506.00,44724.00,44376.00,44039.00,43712.00,43208.00,42523.00,41852.00,41222.00,40648.00,40047.00,39693.00,39671.00,39694.00,39741.00,39739.00,39652.00,39533.00,39376.00,39197.00,38963.00
46003.00,45871.00,45510.00,45013.00,44543.00,44354.00,44698.00,45336.00,45994.00,46636.00,47260.00,47868.00,48459.00,49050.00,49628.00,49530.00,48805.00,48144.00,47463.00,46659.00,45761.00,45160.00,44868.00,44554.00,44258.00,43711.00,42918.00,42185.00,41494.00,40862.00,40290.00,40000.00,39983.00,39962.00,39984.00,39971.00,39851.00,39709.00,39567.00,39401.00,39217.00
44068.00,44147.00,44052.00,43740.00,43297.00,43134.00,43524.00,44214.00,44937.00,45670.00,46387.00,47089.00,47777.00,48452.00,49132.00,49170.00,48498.00,47838.00,47290.00,46692.00,45973.00,45557.00,45403.00,45127.00,44836.00,44274.00,43413.00,42601.00,41870.00,41196.00,40589.00,40360.00,40408.00,40363.00,40311.00,40260.00,40142.00,39973.00,39808.00,39655.00,39483.00
42308.00,42569.00,42660.00,42585.00,42301.00,42158.00,42574.00,43293.00,44042.00,44817.00,45602.00,46373.00,47131.00,47878.00,48615.00,48739.00,48197.00,47583.00,47029.00,46561.00,46044.00,45772.00,45769.00,45625.00,45366.00,44788.00,43908.00,43054.00,42264.00,41565.00,40930.00,40668.00,40762.00,40773.00,40685.00,40565.00,40427.00,40261.00,40069.00,39889.00,39726.00
40605.00,41010.00,41270.00,41366.00,41302.00,41309.00,41745.00,42479.00,43239.00,44023.00,44834.00,45657.00,46467.00,47265.00,48054.00,48236.00,47790.00,47302.00,46788.00,46314.00,45925.00,45821.00,45930.00,45934.00,45803.00,45250.00,44362.00,43506.00,42685.00,41935.00,41282.00,40976.00,41012.00,41071.00,41038.00,40900.00,40712.00,40521.00,40331.00,40123.00,39929.00
38964.00,39445.00,39840.00,40096.00,40192.00,40410.00,40990.00,41733.00,42492.00,43274.00,44080.00,44915.00,45763.00,46598.00,47421.00,47664.00,47298.00,46906.00,46512.00,46078.00,45685.00,45672.00,45913.00,46027.00,46044.00,45622.00,44770.00,43918.00,43101.00,42324.00,41623.00,41273.00,41236.00,41241.00,41261.00,41201.00,41016.00,40773.00,40555.00,40344.00,40117.00
37396.00,37911.00,38378.00,38763.00,39009.00,39377.00,40156.00,41029.00,41783.00,42553.00,43346.00,44165.00,45013.00,45872.00,46718.00,47015.00,46739.00,46427.00,46123.00,45806.00,45454.00,45399.00,45693.00,45938.00,46066.00,45798.00,45091.00,44283.00,43474.00,42702.00,41975.00,41547.00,41435.00,41375.00,41349.00,41365.00,41276.00,41031.00,40760.00,40520.00,40287.00
35890.00,36428.00,36927.00,37379.00,37748.00,38255.00,39169.00,40225.00,41098.00,41853.00,42623.00,43417.00,44238.00,45086.00,45944.00,46290.00,46102.00,45879.00,45648.00,45419.00,45183.00,45131.00,45346.00,45645.00,45903.00,45756.00,45219.00,44562.00,43801.00,43036.00,42314.00,41828.00,41607.00,41480.00,41397.00,41388.00,41388.00,41234.00,40960.00,40665.00,40400.00
34471.00,34999.00,35520.00,36001.00,36434.00,37051.00,38082.00,39256.00,40303.00,41167.00,41912.00,42673.00,43459.00,44270.00,45105.00,45495.00,45393.00,45255.00,45106.00,44946.00,44793.00,44819.00,45001.00,45222.00,45533.00,45530.00,45134.00,44651.00,44041.00,43324.00,42610.00,42096.00,41787.00,41559.00,41418.00,41368.00,41351.00,41282.00,41100.00,40802.00,40482.00
33166.00,33662.00,34172.00,34672.00,35132.00,35798.00,36912.00,38185.00,39340.00,40368.00,41211.00,41937.00,42679.00,43443.00,44229.00,44630.00,44612.00,44557.00,44485.00,44402.00,44314.00,44385.00,44609.00,44796.00,45028.00,45094.00,44863.00,44525.00,44091.00,43526.00,42862.00,42326.00,41958.00,41648.00,41412.00,41316.00,41266.00,41177.00,41080.00,40874.00,40551.00
31973.00,32439.00,32915.00,33403.00,33879.00,34557.00,35690.00,37025.00,38268.00,39391.00,40387.00,41198.00,41892.00,42599.00,43327.00,43714.00,43749.00,43772.00,43774.00,43762.00,43744.00,43845.00,44082.00,44310.00,44508.00,44515.00,44375.00,44207.00,43921.00,43533.00,43022.00,42506.00,42086.00,41725.00,41413.00,41234.00,41143.00,41015.00,40900.00,40778.00,40547.00
30850.00,31299.00,31745.00,32199.00,32662.00,33341.00,34453.00,35785.00,37080.00,38281.00,39362.00,40314.00,41083.00,41731.00,42392.00,42760.00,42825.00,42896.00,42968.00,43022.00,43068.00,43206.00,43443.00,43684.00,43923.00,43915.00,43740.00,43665.00,43547.00,43306.00,42973.00,42580.00,42153.00,41750.00,41396.00,41153.00,40980.00,40807.00,40653.00,40512.00,40366.00
29753.00,30195.00,30624.00,31049.00,31480.00,32130.00,33210.00,34501.00,35786.00,37033.00,38183.00,39212.00,40114.00,40830.00,41424.00,41768.00,41857.00,41953.00,42063.00,42178.00,42283.00,42455.00,42704.00,42944.00,43195.00,43245.00,43075.00,42967.00,42940.00,42862.00,42672.00,42429.00,42107.00,41708.00,41322.00,41048.00,40810.00,40551.00,40352.00,40175.00,40011.00
28640.00,29086.00,29509.00,29919.00,30320.00,30922.00,31939.00,33177.00,34415.00,35647.00,36837.00,37930.00,38902.00,39744.00,40400.00,40720.00,40825.00,40938.00,41063.00,41208.00,41366.00,41571.00,41832.00,42082.00,42331.00,42413.00,42322.00,42219.00,42155.00,42163.00,42130.00,42014.00,41834.00,41550.00,41181.00,40881.00,40607.00,40281.00,39999.00,39780.00,39581.00
27465.00,27929.00,28356.00,28758.00,29144.00,29699.00,30632.00,31784.00,32963.00,34141.00,35308.00,36433.00,37462.00,38367.00,39141.00,39557.00,39674.00,39789.00,39915.00,40063.00,40244.00,40478.00,40755.00,41015.00,41274.00,41383.00,41357.00,41339.00,41279.00,41244.00,41291.00,41330.00,41282.00,41159.00,40923.00,40641.00,40335.00,39971.00,39627.00,39331.00,39094.00
26190.00,26679.00,27122.00,27527.00,27903.00,28424.00,29273.00,30318.00,31404.00,32513.00,33617.00,34712.00,35765.00,36718.00,37545.00,38107.00,38346.00,38455.00,38560.00,38696.00,38872.00,39106.00,39397.00,39667.00,39934.00,40086.00,40133.00,40199.00,40221.00,40178.00,40178.00,40310.00,40441.00,40486.00,40439.00,40285.00,39988.00,39595.00,39220.00,38868.00,38560.00
24824.00,25337.00,25802.00,26220.00,26595.00,27087.00,27866.00,28807.00,29780.00,30789.00,31820.00,32847.00,33863.00,34832.00,35698.00,36338.00,36746.00,36962.00,37033.00,37134.00,37289.00,37496.00,37768.00,38044.00,38312.00,38488.00,38625.00,38790.00,38891.00,38913.00,38898.00,39011.00,39272.00,39537.00,39689.00,39714.00,39536.00,39157.00,38759.00,38383.00,38027.00
23417.00,23949.00,24436.00,24873.00,25259.00,25733.00,26451.00,27305.00,28172.00,29068.00,29998.00,30949.00,31896.00,32826.00,33704.00,34404.00,34917.00,35290.00,35439.00,35493.00,35603.00,35766.00,35992.00,36241.00,36502.00,36673.00,36865.00,37140.00,37333.00,37413.00,37450.00,37578.00,37860.00,38289.00,38685.00,38898.00,38888.00,38631.00,38253.00,37862.00,37490.00
22037.00,22574.00,23077.00,23534.00,23937.00,24406.00,25079.00,25861.00,26644.00,27438.00,28259.00,29114.00,29989.00,30854.00,31697.00,32430.00,33027.00,33499.00,33783.00,33899.00,33948.00,34049.00,34214.00,34412.00,34634.00,34776.00,34975.00,35317.00,35609.00,35763.00,35844.00,36042.00,36367.00,36840.00,37415.00,37855.00,38020.00,37936.00,37684.00,37321.00,36940.00
20733.00,21258.00,21767.00,22240.00,22662.00,23135.00,23781.00,24510.00,25227.00,25944.00,26671.00,27425.00,28212.00,29013.00,29799.00,30517.00,31164.00,31719.00,32095.00,32332.00,32424.00,32457.00,32550.00,32683.00,32842.00,32922.00,33090.00,33441.00,33790.00,34030.00,34172.00,34423.00,34833.00,35354.00,35975.00,36575.00,36957.00,37055.00,36977.00,36744.00,36397.00
19533.00,20035.00,20534.00,21012.00,21449.00,21931.00,22563.00,23260.00,23931.00,24591.00,25249.00,25918.00,26614.00,27336.00,28068.00,28746.00,29391.00,29996.00,30457.00,30777.00,30971.00,31044.00,31066.00,31126.00,31213.00,31219.00,31319.00,31630.00,31981.00,32272.00,32490.00,32799.00,33267.00,33863.00,34526.00,35155.00,35690.00,36010.00,36114.00,36058.00,35843.00
18427.00,18917.00,19394.00,19863.00,20305.00,20794.00,21420.00,22100.00,22747.00,23369.00,23979.00,24588.00,25207.00,25849.00,26513.00,27151.00,27764.00,28367.00,28885.00,29284.00,29550.00,29725.00,29785.00,29773.00,29784.00,29719.00,29737.00,29965.00,30274.00,30569.00,30834.00,31212.00,31735.00,32371.00,33095.00,33749.00,34309.00,34789.00,35113.00,35241.00,35205.00
17433.00,17887.00,18353.00,18801.00,19234.00,19722.00,20344.00,21018.00,21655.00,22260.00,22840.00,23408.00,23976.00,24551.00,25145.00,25726.00,26301.00,26874.00,27400.00,27855.00,28194.00,28445.00,28607.00,28630.00,28569.00,28436.00,28377.00,28507.00,28734.00,28993.00,29262.00,29679.00,30261.00,30931.00,31678.00,32377.00,32960.00,33476.00,33960.00,34308.00,34455.00
