Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,0,48004.00,48420.00,48837.00,49095.00,49168.00,49046.00,48745.00,48134.00,47514.00,46934.00,46393.00,46359.00,46838.00,47344.00,47830.00,48312.00,48776.00,49231.00,49686.00,50151.00,50513.00,49730.00,48969.00,48093.00,47160.00,46103.00,44908.00,44540.00,44212.00,43866.00,43558.00,42858.00,42188.00,41515.00,40929.00,40366.00,39728.00,39658.00,39683.00,39704.00,39778.00,39699.00,39605.00,39461.00,39290.00,39103.00,38822.00
Hombres,1,44001.00,44569.00,45095.00,45567.00,45886.00,46026.00,45979.00,45763.00,45257.00,44769.00,44316.00,44391.00,45005.00,45666.00,46321.00,46950.00,47569.00,48166.00,48752.00,49348.00,49907.00,49153.00,48457.00,47830.00,47095.00,46223.00,45298.00,45021.00,44715.00,44393.00,44123.00,43298.00,42537.00,41833.00,41155.00,40568.00,40012.00,39987.00,39978.00,39945.00,40022.00,39919.00,39782.00,39635.00,39498.00,39303.00,39131.00
Hombres,2,41454.00,42044.00,42640.00,43168.00,43647.00,43983.00,44153.00,44141.00,43963.00,43516.00,43078.00,43190.00,43858.00,44569.00,45305.00,46034.00,46739.00,47438.00,48115.00,48789.00,49474.00,48865.00,48130.00,47545.00,47035.00,46349.00,45597.00,45517.00,45289.00,44964.00,44708.00,43839.00,42986.00,42215.00,41525.00,40866.00,40311.00,40408.00,40407.00,40319.00,40302.00,40218.00,40066.00,39880.00,39736.00,39573.00,39392.00
Hombres,3,39362.00,39937.00,40553.00,41139.00,41661.00,42137.00,42479.00,42659.00,42661.00,42509.00,42092.00,42223.00,42925.00,43661.00,44423.00,45210.00,45993.00,46753.00,47508.00,48247.00,48983.00,48495.00,47898.00,47267.00,46791.00,46330.00,45757.00,45786.00,45752.00,45498.00,45234.00,44341.00,43475.00,42633.00,41894.00,41235.00,40625.00,40710.00,40813.00,40732.00,40637.00,40493.00,40360.00,40162.00,39975.00,39802.00,39649.00
Hombres,4,37545.00,38091.00,38686.00,39286.00,39858.00,40370.00,40840.00,41180.00,41360.00,41372.00,41231.00,41386.00,42104.00,42853.00,43624.00,44421.00,45246.00,46067.00,46867.00,47663.00,48444.00,48027.00,47552.00,47051.00,46525.00,46102.00,45747.00,45894.00,45965.00,45902.00,45704.00,44796.00,43928.00,43083.00,42287.00,41583.00,40981.00,40970.00,41054.00,41087.00,40988.00,40812.00,40612.00,40430.00,40231.00,40014.00,39843.00
Hombres,5,35905.00,36435.00,36995.00,37573.00,38156.00,38713.00,39215.00,39674.00,40006.00,40186.00,40198.00,40621.00,41359.00,42106.00,42877.00,43670.00,44490.00,45340.00,46186.00,47010.00,47831.00,47497.00,47098.00,46713.00,46311.00,45845.00,45525.00,45819.00,46006.00,46048.00,46040.00,45203.00,44337.00,43498.00,42703.00,41944.00,41302.00,41244.00,41228.00,41254.00,41267.00,41135.00,40896.00,40649.00,40460.00,40228.00,40006.00
Hombres,6,34390.00,34918.00,35457.00,35998.00,36558.00,37124.00,37667.00,38154.00,38601.00,38924.00,39094.00,39659.00,40653.00,41404.00,42162.00,42944.00,43748.00,44581.00,45444.00,46300.00,47135.00,46894.00,46583.00,46270.00,45975.00,45636.00,45271.00,45527.00,45858.00,46018.00,46113.00,45482.00,44699.00,43867.00,43081.00,42322.00,41627.00,41466.00,41404.00,41346.00,41352.00,41378.00,41173.00,40888.00,40631.00,40408.00,40166.00
Hombres,7,32971.00,33497.00,34030.00,34550.00,35073.00,35614.00,36165.00,36691.00,37163.00,37594.00,37901.00,38609.00,39728.00,40722.00,41474.00,42232.00,43013.00,43820.00,44655.00,45516.00,46371.00,46209.00,45995.00,45763.00,45533.00,45304.00,45061.00,45200.00,45492.00,45798.00,46007.00,45504.00,44934.00,44190.00,43411.00,42660.00,41967.00,41688.00,41525.00,41435.00,41359.00,41417.00,41358.00,41109.00,40811.00,40518.00,40282.00
Hombres,8,31617.00,32161.00,32689.00,33202.00,33704.00,34209.00,34733.00,35265.00,35774.00,36228.00,36639.00,37462.00,38701.00,39810.00,40796.00,41538.00,42286.00,43060.00,43858.00,44681.00,45529.00,45460.00,45326.00,45184.00,45028.00,44863.00,44723.00,44914.00,45088.00,45356.00,45709.00,45351.00,44916.00,44386.00,43695.00,42952.00,42267.00,41925.00,41648.00,41470.00,41365.00,41370.00,41332.00,41232.00,40968.00,40636.00,40328.00
Hombres,9,30321.00,30894.00,31437.00,31945.00,32439.00,32922.00,33409.00,33915.00,34428.00,34916.00,35347.00,36248.00,37576.00,38794.00,39885.00,40850.00,41572.00,42301.00,43056.00,43830.00,44628.00,44632.00,44591.00,44522.00,44448.00,44355.00,44272.00,44498.00,44720.00,44872.00,45184.00,45004.00,44721.00,44329.00,43853.00,43198.00,42525.00,42127.00,41789.00,41507.00,41316.00,41316.00,41215.00,41138.00,41022.00,40725.00,40377.00
