"","year","edad","SxH","SxM"
"1",1970,1,0.917344998210953,0.929953034604322
"2",1971,2,0.950007826265636,0.953833513548297
"3",1972,3,0.981780711261748,0.98196282465577
"4",1973,4,0.989918310452168,0.990589477656087
"5",1974,5,0.993122671245829,0.993973228778699
"6",1975,6,0.994645861013418,0.99578549346617
"7",1976,7,0.995751820002822,0.996977225829476
"8",1977,8,0.996642470287173,0.99764755281261
"9",1978,9,0.997229061434598,0.998093334276615
"10",1979,10,0.997619563394562,0.998398538034976
"11",1980,11,0.997874520850985,0.998609159130891
"12",1981,12,0.998028770652678,0.998751743817853
"13",1982,13,0.998103048517485,0.998841493591893
"14",1983,14,0.998110130699026,0.998887046505181
"15",1984,15,0.998058592297325,0.998893619722599
"16",1985,16,0.997955738824871,0.998865234247812
"17",1986,17,0.997808108101285,0.998805616715545
"18",1987,18,0.997621770002007,0.998718126164886
"19",1988,19,0.997403638574849,0.998606031020678
"20",1989,20,0.997159860902901,0.998472720142688
"21",1990,21,0.996896345844152,0.998321217081694
"22",1991,22,0.996618740519788,0.998155132918298
"23",1992,23,0.996331679039377,0.997977942031223
"24",1993,24,0.996039858919056,0.997793843750977
"25",1994,25,0.995746934563844,0.997606382826748
"26",1995,26,0.995456090992224,0.997418837748665
"27",1996,27,0.995169656232394,0.997235274176085
"28",1997,28,0.994889673385528,0.997058525548964
"29",1998,29,0.994617564138996,0.996890226811321
"30",1999,30,0.994353974833913,0.996731639205757
"31",2000,31,0.994099781759529,0.996583020268309
"32",2001,32,0.99385417275899,0.996443787892161
"33",2002,33,0.993616625146084,0.996312553529982
"34",2003,34,0.993386169964926,0.996187201394933
"35",2004,35,0.993160713041104,0.996065061272154
"36",2005,36,0.992938007155127,0.995943726432792
"37",2006,37,0.992715864835946,0.995820480201648
"38",2007,38,0.992491681649792,0.995692260009492
"39",2008,39,0.992261949975869,0.995556195099615
"40",2009,40,0.99202324792634,0.995409889374361
"41",2010,41,0.991772394781262,0.995251258838335
"42",2011,42,0.991506100387928,0.995077163812426
"43",2012,43,0.991220416552034,0.994885479672276
"44",2013,44,0.990911525439094,0.994674281487344
"45",2014,45,0.99057605529982,0.994440127491769
"46",2015,46,0.990210768535791,0.994182050359777
"47",2016,47,0.989812503352206,0.993897480488247
"48",2017,48,0.989376731017086,0.993581515980958
"49",2018,49,0.98890017144967,0.993233462145214
"50",2019,50,0.988380061123038,0.992851904603911
"51",2020,51,0.98781227950532,0.99243164920814
"52",2021,52,0.987194063919439,0.991970034863544
"53",2022,53,0.986521245670164,0.991464732177961
"54",2023,54,0.985789539679169,0.990911498859316
"55",2024,55,0.984994785471481,0.990306593834211
"56",2025,56,0.984134136788464,0.989646353697841
"57",2026,57,0.983202353533541,0.988926593411143
"58",2027,58,0.982194205319623,0.988141593681807
"59",2028,59,0.981106456398557,0.98728704358028
"60",2029,60,0.979933879012283,0.986358430672122
"61",2030,61,0.978670378437891,0.98534849409542
"62",2031,62,0.977309039438047,0.98425150045371
"63",2032,63,0.9758460266271,0.983062202141828
"64",2033,64,0.97427487440414,0.981771384843049
"65",2034,65,0.972587747740428,0.980372609152923
"66",2035,66,0.97077869992213,0.978858949117489
"67",2036,67,0.968840055968436,0.977220591606971
"68",2037,68,0.966762441663039,0.975447752725541
"69",2038,69,0.964538921994448,0.973531570407799
"70",2039,70,0.962161843007395,0.971461722396502
"71",2040,71,0.959619753677656,0.969227165631663
"72",2041,72,0.956903132380973,0.966817068610216
"73",2042,73,0.954004370005167,0.964217266345054
"74",2043,74,0.950910900790411,0.961412855540409
"75",2044,75,0.947610513509977,0.958391339001517
"76",2045,76,0.944092980458628,0.955139780898135
"77",2046,77,0.940344544425948,0.951641764640079
"78",2047,78,0.93634903013963,0.947883260196563
"79",2048,79,0.932082456942425,0.943857567941292
"80",2049,80,0.927530200692254,0.939549525419879
"81",2050,81,0.922689877411757,0.934933226612203
"82",1970,82,0.917547866411238,0.929993000332237
"83",1971,83,0.912085684981737,0.924713954916901
"84",1972,84,0.906287126616612,0.919066150195622
"85",1973,85,0.900137784308906,0.913030524430995
"86",1974,86,0.893549136902838,0.906532125224695
"87",1975,87,0.886406798342011,0.899464163950767
"88",1976,88,0.878661940390729,0.891774858436095
"89",1977,89,0.870261676285955,0.883408080259655
"90",1978,90,0.861148837318234,0.874303139847141
"91",1979,91,0.851261784235159,0.864394591703515
"92",1980,92,0.840534262724623,0.853612095107119
"93",1981,93,0.828895291669293,0.841880333269344
"94",1982,94,0.81626913739566,0.829119012547955
"95",1983,95,0.802575379125386,0.815242976433612
"96",1984,96,0.787729083767003,0.800162454179394
"97",1985,97,0.771641139749153,0.78378348054752
"98",1986,98,0.754218767012533,0.76600851834956
"99",1987,99,0.735366243697413,0.746737339125927
"100",1988,100,0.714985899217414,0.725868184050099
"101",1989,101,0.692979402792379,0.703299258236676
"102",1990,102,0.66924938320565,0.678930598525271
"103",1991,103,0.643701436985444,0.652666340113628
"104",1992,104,0.616246531588974,0.624417404311075
"105",1993,105,0.586803819622943,0.59410461188398
"106",1994,106,0.555303862143786,0.561662202883215
"107",1995,107,0.521692228418467,0.527041695218485
