year,edad,S.x..
2016,0,0.993417692
2016,1,0.993417692
2016,2,0.998161866
2016,3,0.998946395
2016,4,0.999307173
2016,5,0.99874153
2016,6,0.996636388
2016,7,0.999910938
2016,8,0.999837908
2016,9,0.999718266
2016,10,0.999717147
2016,11,0.999397329
2016,12,0.998818919
2016,13,0.999866356
2016,14,0.999767625
2016,15,0.999647693
2016,16,0.999556345
2016,17,0.99922519
2016,18,0.99875131
2016,19,0.999697495
2016,20,0.999558983
2016,21,0.999444431
2016,22,0.999249203
2016,23,0.9986141
2016,24,0.999754218
2016,25,0.999632175
2016,26,0.999430609
2016,27,0.999361211
2016,28,0.998963146
2016,29,0.997643788
2016,30,0.999709169
2016,31,0.99951859
2016,32,0.999200753
2016,33,0.999077502
2016,34,0.998320845
2016,35,0.99645553
2016,36,0.999499478
2016,37,0.999179155
2016,38,0.998732806
2016,39,0.998548475
2016,40,0.997351201
2016,41,0.995370883
2016,42,0.998986335
2016,43,0.99846313
2016,44,0.997930441
2016,45,0.997404625
2016,46,0.995799992
2016,47,0.99389748
2016,48,0.997965039
2016,49,0.997147549
2016,50,0.996569013
2016,51,0.995566179
2016,52,0.993155888
2016,53,0.997098755
2016,54,0.99610052
2016,55,0.994841574
2016,56,0.994080833
2016,57,0.992366483
2016,58,0.988973333
2016,59,0.994397018
2016,60,0.992800999
2016,61,0.990855561
2017,0,0.949299013
2017,1,0.949299013
2017,2,0.998854502
2017,3,0.99954342
2017,4,0.999382657
2017,5,0.999496112
2017,6,0.999047771
2017,7,0.997554618
2017,8,0.999914377
2017,9,0.999845306
2017,10,0.999731952
2017,11,0.999721494
2017,12,0.999420902
2017,13,0.998898364
2017,14,0.999843228
2017,15,0.999736103
2017,16,0.999609731
2017,17,0.999514255
2017,18,0.999163177
2017,19,0.998642483
2017,20,0.999683121
2017,21,0.999539758
2017,22,0.999420829
2017,23,0.999212397
2017,24,0.998514064
2017,25,0.999756437
2017,26,0.999628359
2017,27,0.999414813
2017,28,0.999339438
2017,29,0.998917056
2017,30,0.997526564
2017,31,0.999693943
2017,32,0.99948969
2017,33,0.999152054
2017,34,0.999018392
2017,35,0.998230637
2017,36,0.996334993
2017,37,0.999447398
2017,38,0.999102936
2017,39,0.99862986
2017,40,0.998431366
2017,41,0.997195436
2017,42,0.995195877
2017,43,0.998870957
2017,44,0.998311163
2017,45,0.99774576
2017,46,0.997189285
2017,47,0.995529441
2017,48,0.993581516
2017,49,0.997743804
2017,50,0.996871438
2017,51,0.996251722
2017,52,0.99518904
2017,53,0.992677183
2017,54,0.996773414
2017,55,0.995699424
2017,56,0.99435353
2017,57,0.993532736
2017,58,0.991710887
2017,59,0.98814707
2017,60,0.993805995
2017,61,0.992089219
2018,0,0.972923848
2018,1,0.972923848
2018,2,0.968968159
2018,3,0.999802125
2018,4,0.999722913
2018,5,0.999548469
2018,6,0.999600529
2018,7,0.999253047
2018,8,0.998072588
2018,9,0.999915032
2018,10,0.999846939
2018,11,0.99973504
2018,12,0.999714932
2018,13,0.999424017
2018,14,0.998936727
2018,15,0.999815954
2018,16,0.99970198
2018,17,0.999570417
2018,18,0.999471825
2018,19,0.999093983
2018,20,0.998513822
2018,21,0.999673831
2018,22,0.99952449
2018,23,0.999400085
2018,24,0.999177328
2018,25,0.998413811
2018,26,0.999757428
2018,27,0.9996225
2018,28,0.999395902
2018,29,0.999313708
2018,30,0.998866978
2018,31,0.997412121
2018,32,0.999674188
2018,33,0.999454851
2018,34,0.999096145
2018,35,0.998951468
2018,36,0.998132692
2018,37,0.996210983
2018,38,0.999387419
2018,39,0.999017099
2018,40,0.998515861
2018,41,0.99830205
2018,42,0.99702565
2018,43,0.995003444
2018,44,0.998742082
2018,45,0.998143599
2018,46,0.997543177
2018,47,0.99695366
2018,48,0.995232594
2018,49,0.993233462
2018,50,0.997500095
2018,51,0.996568646
2018,52,0.995904165
2018,53,0.994777347
2018,54,0.992154176
2018,55,0.996414825
2018,56,0.995259217
2018,57,0.99381958
2018,58,0.992933713
2018,59,0.990995869
2018,60,0.987248776
2018,61,0.993156981
2019,0,0.981323906
2019,1,0.981323906
2019,2,0.992358219
2019,3,0.989908365
2019,4,0.999875596
2019,5,0.999789236
2019,6,0.999640023
2019,7,0.999669783
2019,8,0.999367867
2019,9,0.99841874
2019,10,0.999912567
2019,11,0.999842412
2019,12,0.999727686
2019,13,0.999697737
2019,14,0.999409635
2019,15,0.998938872
2019,16,0.999787122
2019,17,0.999668263
2019,18,0.999532066
2019,19,0.999430845
2019,20,0.999019874
2019,21,0.99836826
2019,22,0.999668492
2019,23,0.999512177
2019,24,0.999381219
2019,25,0.999142981
2019,26,0.998313738
2019,27,0.99975648
2019,28,0.999613623
2019,29,0.999373028
2019,30,0.999283391
2019,31,0.998812038
2019,32,0.997299653
2019,33,0.999649535
2019,34,0.999413561
2019,35,0.999032497
2019,36,0.998876249
2019,37,0.998026083
2019,38,0.996080941
2019,39,0.999318894
2019,40,0.998920937
2019,41,0.998389759
2019,42,0.998159766
2019,43,0.996840475
2019,44,0.994791677
2019,45,0.99859888
2019,46,0.997958997
2019,47,0.997321054
2019,48,0.996695651
2019,49,0.994908019
2019,50,0.992851905
2019,51,0.997231818
2019,52,0.996236573
2019,53,0.995524157
2019,54,0.994327551
2019,55,0.991583104
2019,56,0.996019879
2019,57,0.994776225
2019,58,0.993235688
2019,59,0.992279104
2019,60,0.990216079
2019,61,0.98627158
2020,0,0.983990894
2020,1,0.983990894
2020,2,0.99634487
2020,3,0.99753619
2020,4,0.994612419
2020,5,0.999901595
2020,6,0.999825277
2020,7,0.999700555
2020,8,0.999706519
2020,9,0.999444876
2020,10,0.998655596
2020,11,0.999906234
2020,12,0.999830984
2020,13,0.999710064
2020,14,0.999671149
2020,15,0.999380505
2020,16,0.998908564
2020,17,0.999759718
2020,18,0.999637306
2020,19,0.999496386
2020,20,0.999392655
2020,21,0.99894246
2020,22,0.998209259
2020,23,0.999665844
2020,24,0.999501633
2020,25,0.999362924
2020,26,0.99910819
2020,27,0.998214659
2020,28,0.999752883
2020,29,0.999601092
2020,30,0.999345588
2020,31,0.999247711
2020,32,0.998751339
2020,33,0.997188156
2020,34,0.999619518
2020,35,0.99936533
2020,36,0.998960632
2020,37,0.998792014
2020,38,0.997909869
2020,39,0.995942443
2020,40,0.999241096
2020,41,0.998813425
2020,42,0.998250819
2020,43,0.998003418
2020,44,0.99663827
2020,45,0.994557236
2020,46,0.998439912
2020,47,0.997755835
2020,48,0.997077561
2020,49,0.996413455
2020,50,0.994553971
2020,51,0.992431649
2020,52,0.996936495
2020,53,0.995873077
2020,54,0.99510836
2020,55,0.993836058
2020,56,0.990960308
2020,57,0.995585081
2020,58,0.994246756
2020,59,0.992597209
2020,60,0.991563431
2020,61,0.989365917
2021,0,0.990248454
2021,1,0.990248454
2021,2,0.997245704
2021,3,0.998820815
2021,4,0.998606563
2021,5,0.996455188
2021,6,0.999915158
2021,7,0.999848176
2021,8,0.999732302
2021,9,0.999729898
2021,10,0.999494718
2021,11,0.998817571
2021,12,0.999895052
2021,13,0.999812124
2021,14,0.999683345
2021,15,0.999637349
2021,16,0.999339235
2021,17,0.99884933
2021,18,0.999736082
2021,19,0.999610665
2021,20,0.99946452
2021,21,0.99935766
2021,22,0.998863173
2021,23,0.998040113
2021,24,0.999664554
2021,25,0.999491469
2021,26,0.99934387
2021,27,0.9990721
2021,28,0.998116532
2021,29,0.999746206
2021,30,0.999584452
2021,31,0.999312836
2021,32,0.99920588
2021,33,0.998684301
2021,34,0.997076226
2021,35,0.999583675
2021,36,0.999309667
2021,37,0.99887984
2021,38,0.998698084
2021,39,0.997783106
2021,40,0.995793434
2021,41,0.999153018
2021,42,0.998693923
2021,43,0.998097962
2021,44,0.997831539
2021,45,0.996417172
2021,46,0.994299127
2021,47,0.998263778
2021,48,0.997532575
2021,49,0.996810847
2021,50,0.996105213
2021,51,0.994166439
2021,52,0.991970035
2021,53,0.996612092
2021,54,0.995474927
2021,55,0.994653309
2021,56,0.993299355
2021,57,0.990281608
2021,58,0.995107029
2021,59,0.99366625
2021,60,0.991898651
2021,61,0.990781653
2022,0,0.994084929
2022,1,0.994084929
2022,2,0.998336461
2022,3,0.999119242
2022,4,0.999312321
2022,5,0.999020625
2022,6,0.997454491
2022,7,0.999922992
2022,8,0.999858631
2022,9,0.999752238
2022,10,0.999742311
2022,11,0.999522991
2022,12,0.998924653
2022,13,0.999878206
2022,14,0.999786424
2022,15,0.999649679
2022,16,0.999599048
2022,17,0.9992885
2022,18,0.998764369
2022,19,0.999717613
2022,20,0.999589143
2022,21,0.999436635
2022,22,0.999325724
2022,23,0.998783057
2022,24,0.997864754
2022,25,0.999663274
2022,26,0.999480356
2022,27,0.999323037
2022,28,0.999033468
2022,29,0.998019057
2022,30,0.999736141
2022,31,0.999563119
2022,32,0.999274011
2022,33,0.99915741
2022,34,0.998610255
2022,35,0.996962188
2022,36,0.999541499
2022,37,0.999245886
2022,38,0.998789454
2022,39,0.998593779
2022,40,0.997644885
2022,41,0.99563203
2022,42,0.999054038
2022,43,0.998561403
2022,44,0.997929732
2022,45,0.997642976
2022,46,0.996175866
2022,47,0.994014806
2022,48,0.998069231
2022,49,0.997287332
2022,50,0.996519049
2022,51,0.995767969
2022,52,0.993742646
2022,53,0.991464732
2022,54,0.996255613
2022,55,0.995038727
2022,56,0.994155587
2022,57,0.992713443
2022,58,0.989541737
2022,59,0.994581291
2022,60,0.993029213
2022,61,0.991135106
2023,0,0.957872213
2023,1,0.957872213
2023,2,0.998966862
2023,3,0.99961832
2023,4,0.999480046
2023,5,0.999499674
2023,6,0.999249446
2023,7,0.998118111
2023,8,0.999925318
2023,9,0.999863949
2023,10,0.999762287
2023,11,0.999744548
2023,12,0.999532799
2023,13,0.998988476
2023,14,0.9998559
2023,15,0.999755719
2023,16,0.999611784
2023,17,0.999559154
2023,18,0.999230604
2023,19,0.998656826
2023,20,0.99970479
2023,21,0.999572496
2023,22,0.999412312
2023,23,0.999296371
2023,24,0.998703032
2023,25,0.997686428
2023,26,0.999660828
2023,27,0.999467278
2023,28,0.999299172
2023,29,0.998991333
2023,30,0.99792205
2023,31,0.999722254
2023,32,0.99953647
2023,33,0.999228637
2023,34,0.999101736
2023,35,0.998528549
2023,36,0.996844602
2023,37,0.999492322
2023,38,0.999173344
2023,39,0.998688808
2023,40,0.998478376
2023,41,0.997494012
2023,42,0.995455499
2023,43,0.998943155
2023,44,0.998414473
2023,45,0.997745022
2023,46,0.997436311
2023,47,0.995912312
2023,48,0.99369949
2023,49,0.997854387
2023,50,0.997018254
2023,51,0.99619948
2023,52,0.99539902
2023,53,0.993280236
2023,54,0.990911499
2023,55,0.995863847
2023,56,0.99456112
2023,57,0.993611316
2023,58,0.992073892
2023,59,0.988736175
2023,60,0.994002438
2023,61,0.992331188
2024,0,0.975520943
2024,1,0.975520943
2024,2,0.977986439
2024,3,0.999834581
2024,4,0.999766612
2024,5,0.999616493
2024,6,0.999603208
2024,7,0.999402733
2024,8,0.998493256
2024,9,0.999925266
2024,10,0.99986425
2024,11,0.999762966
2024,12,0.999736671
2024,13,0.999526223
2024,14,0.999015941
2024,15,0.999829627
2024,16,0.999722711
2024,17,0.999572583
2024,18,0.999519977
2024,19,0.999167703
2024,20,0.998529985
2024,21,0.999697029
2024,22,0.999559864
2024,23,0.999390828
2024,24,0.999268866
2024,25,0.998623267
2024,26,0.997508089
2024,27,0.999656347
2024,28,0.99945107
2024,29,0.999271368
2024,30,0.998945015
2024,31,0.997824875
2024,32,0.999704057
2024,33,0.999504092
2024,34,0.999176163
2024,35,0.99903833
2024,36,0.998438645
2024,37,0.996721689
2024,38,0.999435499
2024,39,0.999091395
2024,40,0.998577188
2024,41,0.998350823
2024,42,0.997329335
2024,43,0.995261884
2024,44,0.998819035
2024,45,0.998252216
2024,46,0.99754241
2024,47,0.997209873
2024,48,0.995623542
2024,49,0.99335242
2024,50,0.997617433
2024,51,0.996722967
2024,52,0.995849487
2024,53,0.994996122
2024,54,0.992775295
2024,55,0.990306594
2024,56,0.995433575
2024,57,0.994038293
2024,58,0.993016388
2024,59,0.991376028
2024,60,0.987860008
2024,61,0.99336639
2025,0,0.980814579
2025,1,0.980814579
2025,2,0.993801922
2025,3,0.993218549
2025,4,0.999895207
2025,5,0.999820978
2025,6,0.999691688
2025,7,0.999671865
2025,8,0.999487717
2025,9,0.998745157
2025,10,0.99992245
2025,11,0.999859009
2025,12,0.999754152
2025,13,0.99971878
2025,14,0.999505532
2025,15,0.999011407
2025,16,0.999801927
2025,17,0.999690416
2025,18,0.999534392
2025,19,0.999483239
2025,20,0.999101873
2025,21,0.998386745
2025,22,0.99969315
2025,23,0.999550168
2025,24,0.999371226
2025,25,0.999242042
2025,26,0.998543583
2025,27,0.997333428
2025,28,0.999648911
2025,29,0.999430925
2025,30,0.999238982
2025,31,0.998893645
2025,32,0.997726649
2025,33,0.999681192
2025,34,0.999465483
2025,35,0.999116072
2025,36,0.998966715
2025,37,0.998339729
2025,38,0.99659147
2025,39,0.999370378
