year,edad,S.x..
2016,0,0.991720913
2016,1,0.991720913
2016,2,0.997842251
2016,3,0.998880071
2016,4,0.999267194
2016,5,0.998600809
2016,6,0.995768358
2016,7,0.999903751
2016,8,0.999803364
2016,9,0.99962428
2016,10,0.999601634
2016,11,0.999095502
2016,12,0.998136557
2016,13,0.999787388
2016,14,0.999609093
2016,15,0.999372819
2016,16,0.999164295
2016,17,0.998516119
2016,18,0.997673554
2016,19,0.999203409
2016,20,0.998826178
2016,21,0.99849932
2016,22,0.998050869
2016,23,0.997051571
2016,24,0.998824668
2016,25,0.998442676
2016,26,0.997949048
2016,27,0.99775267
2016,28,0.997038917
2016,29,0.995352142
2016,30,0.998463631
2016,31,0.997992397
2016,32,0.997355154
2016,33,0.997148881
2016,34,0.995956726
2016,35,0.993589542
2016,36,0.998150754
2016,37,0.997516423
2016,38,0.996739622
2016,39,0.996472588
2016,40,0.994635903
2016,41,0.991926403
2016,42,0.997441374
2016,43,0.99654627
2016,44,0.995699656
2016,45,0.994900494
2016,46,0.992504195
2016,47,0.989812503
2016,48,0.995963916
2016,49,0.994683305
2016,50,0.993823194
2016,51,0.992340564
2016,52,0.98886575
2016,53,0.994797565
2016,54,0.993294786
2016,55,0.99145511
2016,56,0.990392353
2016,57,0.987986566
2016,58,0.983327834
2016,59,0.991025164
2016,60,0.988794884
2016,61,0.986138687
2017,0,0.939437829
2017,1,0.939437829
2017,2,0.998609908
2017,3,0.999507572
2017,4,0.999347444
2017,5,0.999448368
2017,6,0.998867229
2017,7,0.996617468
2017,8,0.99990002
2017,9,0.999799108
2017,10,0.99962311
2017,11,0.999588894
2017,12,0.999097043
2017,13,0.99819738
2017,14,0.999736846
2017,15,0.999528397
2017,16,0.999260292
2017,17,0.999025624
2017,18,0.99833726
2017,19,0.997456319
2017,20,0.999072167
2017,21,0.998673986
2017,22,0.998337556
2017,23,0.997873747
2017,24,0.996817546
2017,25,0.998751803
2017,26,0.998361689
2017,27,0.997853241
2017,28,0.997661381
2017,29,0.996918775
2017,30,0.99513991
2017,31,0.998435292
2017,32,0.997947377
2017,33,0.997285309
2017,34,0.997070622
2017,35,0.99583233
2017,36,0.993381868
2017,37,0.998088463
2017,38,0.997424119
2017,39,0.996612714
2017,40,0.996325547
2017,41,0.994430268
2017,42,0.99166194
2017,43,0.997281798
2017,44,0.996339343
2017,45,0.995448348
2017,46,0.994606671
2017,47,0.992134612
2017,48,0.989376731
2017,49,0.99564687
2017,50,0.994295152
2017,51,0.993380899
2017,52,0.991823004
2017,53,0.988224284
2017,54,0.994333161
2017,55,0.992736328
2017,56,0.990790587
2017,57,0.989654496
2017,58,0.987122327
2017,59,0.982270572
2017,60,0.990231065
2017,61,0.987859814
2018,0,0.966862542
2018,1,0.966862542
2018,2,0.965882256
2018,3,0.999783505
2018,4,0.99970842
2018,5,0.999506606
2018,6,0.999543221
2018,7,0.999054611
2018,8,0.997282506
2018,9,0.999892525
2018,10,0.999788449
2018,11,0.999609306
2018,12,0.999560688
2018,13,0.999065648
2018,14,0.998195008
2018,15,0.999669474
2018,16,0.999427691
2018,17,0.999127672
2018,18,0.998869723
2018,19,0.998139527
2018,20,0.997214438
2018,21,0.99894262
2018,22,0.998526885
2018,23,0.998183624
2018,24,0.997705573
2018,25,0.996589006
2018,26,0.99869136
2018,27,0.998292647
2018,28,0.997768249
2018,29,0.997579226
2018,30,0.996806538
2018,31,0.994936092
2018,32,0.998407094
2018,33,0.997900697
2018,34,0.997212222
2018,35,0.996986889
2018,36,0.995701971
2018,37,0.993172957
2018,38,0.998014448
2018,39,0.997317774
2018,40,0.99646961
2018,41,0.996160411
2018,42,0.994204918
2018,43,0.991377848
2018,44,0.997101438
2018,45,0.996108255
2018,46,0.995170046
2018,47,0.994282906
2018,48,0.991729909
2018,49,0.988900171
2018,50,0.995297695
2018,51,0.993870153
2018,52,0.992898261
2018,53,0.991259752
2018,54,0.987527295
2018,55,0.993825992
2018,56,0.992128221
2018,57,0.990069165
2018,58,0.988854893
2018,59,0.986187653
2018,60,0.981130566
2018,61,0.989368335
2019,0,0.976874595
2019,1,0.976874595
2019,2,0.991709056
2019,3,0.989696984
2019,4,0.999869702
2019,5,0.999772664
2019,6,0.999590349
2019,7,0.999606741
2019,8,0.999167417
2019,9,0.997721362
2019,10,0.999881192
2019,11,0.999770192
2019,12,0.99958066
2019,13,0.999513883
2019,14,0.999001439
2019,15,0.998137058
2019,16,0.999584395
2019,17,0.999308747
2019,18,0.998978865
2019,19,0.998701409
2019,20,0.997928334
2019,21,0.996953758
2019,22,0.998819231
2019,23,0.998388557
2019,24,0.998040211
2019,25,0.997548211
2019,26,0.996368065
2019,27,0.99864217
2019,28,0.998233828
2019,29,0.99769225
2019,30,0.997504097
2019,31,0.996700118
2019,32,0.994739147
2019,33,0.998376696
2019,34,0.997849964
2019,35,0.997133472
2019,36,0.996895204
2019,37,0.995563176
2019,38,0.992960211
2019,39,0.997927288
2019,40,0.997195768
2019,41,0.996308476
2019,42,0.995975216
2019,43,0.993957419
2019,44,0.991070406
2019,45,0.99689866
2019,46,0.995851324
2019,47,0.994862627
2019,48,0.993927024
2019,49,0.991287604
2019,50,0.988380061
2019,51,0.994914179
2019,52,0.993405897
2019,53,0.99237227
2019,54,0.990647238
2019,55,0.986770995
2019,56,0.99327218
2019,57,0.991466627
2019,58,0.989287034
2019,59,0.987988516
2019,60,0.985177692
2019,61,0.979901877
2020,0,0.980124998
2020,1,0.980124998
2020,2,0.996087813
2020,3,0.997419996
2020,4,0.994242343
2020,5,0.999895231
2020,6,0.999807728
2020,7,0.999645973
2020,8,0.99963102
2020,9,0.999236919
2020,10,0.998012584
2020,11,0.99986476
2020,12,0.999741769
2020,13,0.999533968
2020,14,0.9994457
2020,15,0.998905152
2020,16,0.998030203
2020,17,0.999482855
2020,18,0.999175246
2020,19,0.998818629
2020,20,0.998526091
2020,21,0.997709058
2020,22,0.996679858
2020,23,0.99870553
2020,24,0.998261496
2020,25,0.997908846
2020,26,0.99740262
2020,27,0.996155882
2020,28,0.998602341
2020,29,0.998183165
2020,30,0.997623089
2020,31,0.99743348
2020,32,0.996597004
2020,33,0.994547702
2020,34,0.998341936
2020,35,0.997793015
2020,36,0.997046624
2020,37,0.996793266
2020,38,0.995413558
2020,39,0.992740296
2020,40,0.997825567
2020,41,0.99705644
2020,42,0.996127377
2020,43,0.995768216
2020,44,0.993685388
2020,45,0.990736314
2020,46,0.996671874
2020,47,0.995566503
2020,48,0.994524126
2020,49,0.993537093
2020,50,0.990804977
2020,51,0.98781228
2020,52,0.994493968
2020,53,0.99289947
2020,54,0.991799534
2020,55,0.989982331
2020,56,0.985952184
2020,57,0.992668121
2020,58,0.990747994
2020,59,0.988439099
2020,60,0.987050669
2020,61,0.984087064
2021,0,0.987849162
2021,1,0.987849162
2021,2,0.997028868
2021,3,0.998749055
