V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
0.029020787,0.029772651,0.030220614,0.030214577,0.029701356,0.028755662,0.027538772,0.026278827,0.025211025,0.024529924,0.024367737,0.024792108,0.025808962,0.027361132,0.02932459,0.031513441,0.033705857,0.035692235,0.037329436,0.038575341,0.03948674,0.040184394,0.040804951,0.041460177,0.042214621,0.043082933,0.044042638,0.045056102,0.04609433,0.047155035,0.048269167,0.04949426,0.050897583,0.052534975,0.054431517
0.026867646,0.026599522,0.026011619,0.025217012,0.024267357,0.02319426,0.022100854,0.021091692,0.020256549,0.019659812,0.019336257,0.019291189,0.019502443,0.019923146,0.020486018,0.021110888,0.021716149,0.022232484,0.022614825,0.022848204,0.022945465,0.022938316,0.022865694,0.022763594,0.022658938,0.022567993,0.022498354,0.022452768,0.02243305,0.022442714,0.02248761,0.022574615,0.022709045,0.022891796,0.023117227
0.024954726,0.024205269,0.023187725,0.022096283,0.021006111,0.019926603,0.018925064,0.018050166,0.017330957,0.016778815,0.016390604,0.016151853,0.016039525,0.01602443,0.016073604,0.016152916,0.016229988,0.016277167,0.016274075,0.016209196,0.016080154,0.015892666,0.015658485,0.01539285,0.015111998,0.01483111,0.014562899,0.014316837,0.014098897,0.013911683,0.013754788,0.013625283,0.013518297,0.013427636,0.013346454
0.023105013,0.022126776,0.020936193,0.019741844,0.018623402,0.017583803,0.016667396,0.015892554,0.015257341,0.014746909,0.014340367,0.014016007,0.013754505,0.013540135,0.013360355,0.013204421,0.013061821,0.012921279,0.012770803,0.01259886,0.012396333,0.012158562,0.011886695,0.011587739,0.011273235,0.0109569,0.01065196,0.01036887,0.010113887,0.00988865,0.009690666,0.009514452,0.009353007,0.009199319,0.009047577
0.021301483,0.020230411,0.018990749,0.017778228,0.016674981,0.015689605,0.014851696,0.014161377,0.01359852,0.013133069,0.012734194,0.012377015,0.012046086,0.011735403,0.011445542,0.011179344,0.010937764,0.010717199,0.010508925,0.010300623,0.010079415,0.009835405,0.00956455,0.009269843,0.008960427,0.008649038,0.008348731,0.008069964,0.007818745,0.007596092,0.007398644,0.007220079,0.007052919,0.006890285,0.006727239
0.019538541,0.018459223,0.017246805,0.016070549,0.015012901,0.014092549,0.013329344,0.012712703,0.012212481,0.011790587,0.011411307,0.011048909,0.010691242,0.01033882,0.010000239,0.009686017,0.009403101,0.009151607,0.00892427,0.008708354,0.00848924,0.008254607,0.007997918,0.007720074,0.007428735,0.007135689,0.006853382,0.006591789,0.00635647,0.006148035,0.005962826,0.005794426,0.005635522,0.005479686,0.005322677
0.017856414,0.016817614,0.015673068,0.014559782,0.013559835,0.012704345,0.012007016,0.01145148,0.011002774,0.010619318,0.010263654,0.009910416,0.009549917,0.009186618,0.008833537,0.008505113,0.008211161,0.00795351,0.007725647,0.007514862,0.007306047,0.007086043,0.006847295,0.00658965,0.006319778,0.006048576,0.005787697,0.005546451,0.0053299,0.005138383,0.004968226,0.004813233,0.004666499,0.00452212,0.004376403
0.016320918,0.015348858,0.014291744,0.013255685,0.01232016,0.011526201,0.01088402,0.010375317,0.009964523,0.009610407,0.009276511,0.00893891,0.008589587,0.008234634,0.007888405,0.007566273,0.007278666,0.007027902,0.006808,0.006606869,0.006410001,0.006204641,0.005983282,0.005745389,0.005496867,0.005247609,0.005008223,0.00478714,0.004588853,0.00441352,0.004257652,0.004115513,0.003980804,0.00384822,0.003714536
0.014949133,0.014052487,0.013089338,0.012134539,0.011262596,0.010522498,0.00992258,0.009445213,0.009057228,0.008720608,0.008402035,0.008079911,0.007747304,0.007410146,0.007081771,0.00677627,0.006503096,0.006264287,0.006054379,0.005862455,0.005675492,0.005482094,0.005275573,0.005055442,0.004826892,0.004598592,0.004379794,0.004177784,0.003996371,0.003835565,0.003692214,0.00356125,0.003437165,0.003315363,0.003193082
0.013829374,0.012994932,0.012109465,0.011221909,0.010400759,0.009699785,0.009126365,0.008664741,0.008285439,0.007954842,0.007643601,0.00733268,0.007015781,0.006697667,0.006389417,0.006102712,0.005845243,0.005618373,0.005417117,0.005231955,0.00505173,0.004866822,0.004671718,0.004466194,0.004254791,0.004044905,0.003844327,0.003659115,0.003492352,0.003343912,0.003211028,0.003089365,0.002974253,0.002861821,0.002749739
