V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
0.013442045,0.012271971,0.011276857,0.010418418,0.009634162,0.008865239,0.008076475,0.007265403,0.006458145,0.00569514,0.005014546,0.004440916,0.003981828,0.003630349,0.003369592,0.003176834,0.003026634,0.002893614,0.002755676,0.002597555,0.002413515,0.002207661,0.001991311,0.001778509,0.001581678,0.001408967,0.001263648,0.00114491,0.001049192,0.000971458,0.00090621,0.000848278,0.000793442,0.000738895,0.000683438
0.024826503,0.023098998,0.020793456,0.018278329,0.015874664,0.01378631,0.012096622,0.010801528,0.009847739,0.009160626,0.0086602,0.008269774,0.007922196,0.007565926,0.007170205,0.006726874,0.006247108,0.00575382,0.00527266,0.004824774,0.004423022,0.004071497,0.003767172,0.003502412,0.003267534,0.003053003,0.00285108,0.002656791,0.002468157,0.002285716,0.002111572,0.001948288,0.001797964,0.001661669,0.001539277
0.029804395,0.027970607,0.025316208,0.02231913,0.019420483,0.016910028,0.014911526,0.013426181,0.012385619,0.011689795,0.011227648,0.010888354,0.010571376,0.01019871,0.009726578,0.009150414,0.008498987,0.007819551,0.007160726,0.006559791,0.006037191,0.005597098,0.005231231,0.004923591,0.004654942,0.004406719,0.004164182,0.00391852,0.003667477,0.003414387,0.003165996,0.002929876,0.002712262,0.002516785,0.002344159
0.031236349,0.029482173,0.026927368,0.024011397,0.021155855,0.01865194,0.01663676,0.015126468,0.014063135,0.013350955,0.012877759,0.012528191,0.012195939,0.011798002,0.011287876,0.010661189,0.009949582,0.009204903,0.008480838,0.007819048,0.0072429,0.006757716,0.006354671,0.006015879,0.005719397,0.005443735,0.005171644,0.004892721,0.004604316,0.004310515,0.004019638,0.003741163,0.003483084,0.003250295,0.003044115
0.030507849,0.028918421,0.026670864,0.024108918,0.021572423,0.019308891,0.017447319,0.016016237,0.014976683,0.014251073,0.013742891,0.013350418,0.012979269,0.01255553,0.012037031,0.011417957,0.010723839,0.009998629,0.009289331,0.008633809,0.008054589,0.007558191,0.007137962,0.006778398,0.006459725,0.0061622,0.005869738,0.005572418,0.005267401,0.004958102,0.004651999,0.004357875,0.004083349,0.003833285,0.003609208
0.028544189,0.027153964,0.025286312,0.023180542,0.021078253,0.019164518,0.017545449,0.016254481,0.015271422,0.01454217,0.013994427,0.013550006,0.01313576,0.012693851,0.012189807,0.011615707,0.010986927,0.010333533,0.009689659,0.009084459,0.008536781,0.008053724,0.007632045,0.007261111,0.006926407,0.006612972,0.006308315,0.00600441,0.005698475,0.005392458,0.005091507,0.004801985,0.004529615,0.004278188,0.004049001
0.026059309,0.024870481,0.023366108,0.021699962,0.020028338,0.018476058,0.017120918,0.015994066,0.015089204,0.01437423,0.013802031,0.013319771,0.012876992,0.012432633,0.011960175,0.01144978,0.010906781,0.010347052,0.009790897,0.009257334,0.008760161,0.00830624,0.007895701,0.007523442,0.007181248,0.006860033,0.006551783,0.006250924,0.005954919,0.005664092,0.005380829,0.005108466,0.004850179,0.00460815,0.004383131
0.023510469,0.022504091,0.021314777,0.02003193,0.018744155,0.017524026,0.016420332,0.015457089,0.014636928,0.013946468,0.013362021,0.012854894,0.012396034,0.011959892,0.011527262,0.011086794,0.010634995,0.010174839,0.009713449,0.009259519,0.008821083,0.00840403,0.008011476,0.007643866,0.007299579,0.006975771,0.006669224,0.006377037,0.006097059,0.005828038,0.005569523,0.005321601,0.005084572,0.004858655,0.004643788
0.021389874,0.020527724,0.019566362,0.018557548,0.017548167,0.016575935,0.015667693,0.014839549,0.014098117,0.013442252,0.012864908,0.012354932,0.011898741,0.011481873,0.011090408,0.010712215,0.010337934,0.009961578,0.009580679,0.009195956,0.008810593,0.008429261,0.008057104,0.007698839,0.007358101,0.007037085,0.00673647,0.006455572,0.006192655,0.005945321,0.005710927,0.005486948,0.005271267,0.005062356,0.004859333
0.019993144,0.019226497,0.018410314,0.017576355,0.016747597,0.015940083,0.01516544,0.01443286,0.013750026,0.01312303,0.012555666,0.012048577,0.01159867,0.011199029,0.010839438,0.010507474,0.010190058,0.009875224,0.009553798,0.009220626,0.008875058,0.008520563,0.008163593,0.007811999,0.00747341,0.007153904,0.006857194,0.006584358,0.006334057,0.006103098,0.005887194,0.005681794,0.005482832,0.005287294,0.005093532
0.018491118,0.017811976,0.017080608,0.016329636,0.015582037,0.014853156,0.014153588,0.013491552,0.012874119,0.012307286,0.011795266,0.011339503,0.010937884,0.010584443,0.010269688,0.009981573,0.009706989,0.009433588,0.009151593,0.008855219,0.008543346,0.008219271,0.007889604,0.007562636,0.007246596,0.00694819,0.006671673,0.006418504,0.006187525,0.005975534,0.005778081,0.005590352,0.005407991,0.005227742,0.005047808
0.015909735,0.015350826,0.014684869,0.013963686,0.013233112,0.012528809,0.011875202,0.011286367,0.010767828,0.010318525,0.009932592,0.009600852,0.009312059,0.009053999,0.008814529,0.008582582,0.008349094,0.008107741,0.007855341,0.007591852,0.007319925,0.007044108,0.006769869,0.006502624,0.006246933,0.00600597,0.005781298,0.005572904,0.005379465,0.00519873,0.005027979,0.004864473,0.004705833,0.004550319,0.004396953
0.018991297,0.018294713,0.017457144,0.016550647,0.015639817,0.014774056,0.013985212,0.013288914,0.012687747,0.012174899,0.011737512,0.011359502,0.011023815,0.010714225,0.010416714,0.010120443,0.00981827,0.009506809,0.009186035,0.008858545,0.008528631,0.0082013,0.00788143,0.007573117,0.007279295,0.007001582,0.006740339,0.006494867,0.006263694,0.006044889,0.005836374,0.005636185,0.005442672,0.005254621,0.005071286
0.03062399,0.029438036,0.028174266,0.026897639,0.025654031,0.024470986,0.02336197,0.022331523,0.021379597,0.020504297,0.019702973,0.018972071,0.018306388,0.017698322,0.017137591,0.016611667,0.016106925,0.015610314,0.015111202,0.014602928,0.01408368,0.01355643,0.013027949,0.012507163,0.012003269,0.01152403,0.011074582,0.010656879,0.010269776,0.009909612,0.009571127,0.009248516,0.008936427,0.008630752,0.008329083
0.047513783,0.045649094,0.043861998,0.042181762,0.040599671,0.039085709,0.037606239,0.036138268,0.034677328,0.033237995,0.031848161,0.030539854,0.029339859,0.028262702,0.027307254,0.02645703,0.025683612,0.024952256,0.024228599,0.023485146,0.022706146,0.021889687,0.021046589,0.020196558,0.019362875,0.018567113,0.017825108,0.017144783,0.016525846,0.015961026,0.015438315,0.014943709,0.014463939,0.013988723,0.013512169
0.064497002,0.06200038,0.059671509,0.057528364,0.055535538,0.053630006,0.051747865,0.049845923,0.04791365,0.045973644,0.044072127,0.042263829,0.040596541,0.039099504,0.037777619,0.036611521,0.035562475,0.034580647,0.033615122,0.032623782,0.031580989,0.030481276,0.029338253,0.028179314,0.027037925,0.025945775,0.024926639,0.023992947,0.023145149,0.022373362,0.021660581,0.020986664,0.02033235,0.019682623,0.019028841
0.083609008,0.080470173,0.077548483,0.074869112,0.072387851,0.070023133,0.067690076,0.065328704,0.06292042,0.060489939,0.058094159,0.055803201,0.053680346,0.051766422,0.050071508,0.048574272,0.047227724,0.045969537,0.044734843,0.043469031,0.042137893,0.040732784,0.039269666,0.037782678,0.036314429,0.034905892,0.033588329,0.032378619,0.031278178,0.030274914,0.029347269,0.028469359,0.02761622,0.026768237,0.025914006
0.098034145,0.094326482,0.090888944,0.087744132,0.084838906,0.082078915,0.079365617,0.076627364,0.073838029,0.071019963,0.068232575,0.065551944,0.063048704,0.060770395,0.058731685,0.056913034,0.05526656,0.053727031,0.052225588,0.050703487,0.049123019,0.047473184,0.04576896,0.044044803,0.042344603,0.04071108,0.039177165,0.037760886,0.036464042,0.035274146,0.034168645,0.033120347,0.03210297,0.031095817,0.030086776
