a¤o,edad,valor
2016,1,0.054322043
2016,2,0.049674902
2016,3,0.073833291
2016,4,0.099160139
2016,5,0.12244542
2016,6,0.141039116
2016,7,0.153366963
2016,8,0.159013422
2016,9,0.158496812
2016,10,0.152915959
2016,11,0.143608963
2016,12,0.131896984
2016,13,0.118929759
2016,14,0.105617565
2016,15,0.092623044
2016,16,0.080387363
2016,17,0.069171377
2016,18,0.059099393
2016,19,0.050198779
2016,20,0.042432577
2016,21,0.035724608
2016,22,0.029977785
2016,23,0.0250868
2016,24,0.020946475
2016,25,0.017456895
2016,26,0.014526273
2016,27,0.012072268
2016,28,0.010022293
2016,29,0.008313201
2016,30,0.006890615
2016,31,0.005708084
2016,32,0.004726179
2016,33,0.0039116
2016,34,0.003236337
2016,35,0.002676906
2016,36,0.002213673
2017,1,0.053716083
2017,2,0.04912078
2017,3,0.073009683
2017,4,0.098054011
2017,5,0.121079545
2017,6,0.139465829
2017,7,0.15165616
2017,8,0.157239633
2017,9,0.156728786
2017,10,0.151210187
2017,11,0.14200701
2017,12,0.130425678
2017,13,0.117603102
2017,14,0.104439405
2017,15,0.091589837
2017,16,0.079490645
2017,17,0.068399773
2017,18,0.058440142
2017,19,0.049638814
2017,20,0.041959243
2017,21,0.035326101
2017,22,0.029643384
2017,23,0.024806958
2017,24,0.020712818
2017,25,0.017262164
2017,26,0.014364232
2017,27,0.011937602
2017,28,0.009910494
2017,29,0.008220467
2017,30,0.00681375
2017,31,0.005644411
2017,32,0.004673459
2017,33,0.003867967
2017,34,0.003200235
2017,35,0.002647045
2017,36,0.00218898
2018,1,0.053129434
2018,2,0.048584318
2018,3,0.072212324
2018,4,0.096983137
2018,5,0.119757202
2018,6,0.137942685
2018,7,0.149999881
2018,8,0.155522376
2018,9,0.155017107
2018,10,0.149558778
2018,11,0.140456112
2018,12,0.129001263
2018,13,0.116318726
2018,14,0.103298793
2018,15,0.09058956
2018,16,0.078622505
2018,17,0.06765276
2018,18,0.057801901
2018,19,0.049096695
2018,20,0.041500994
2018,21,0.034940295
2018,22,0.02931964
2018,23,0.024536034
2018,24,0.020486608
2018,25,0.017073639
2018,26,0.014207357
2018,27,0.011807228
2018,28,0.009802259
2018,29,0.008130689
2018,30,0.006739335
2018,31,0.005582766
