2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0.05432204,0.05371608,0.05312943,0.05256143,0.05201143,0.05147880,0.05096293,0.05046325,0.04997919,0.04951020,0.04905575,0.04861534,0.04818847,0.04777467,0.04737349,0.04698449,0.04660723,0.04624132,0.04588636,0.04554197,0.04520779,0.04488346,0.04456865,0.04426303,0.04396629,0.04367813,0.04339825,0.04312637,0.04286223,0.04260557,0.04235614,0.04211370,0.04187801,0.04164885,0.04142601
0.04967490,0.04912078,0.04858432,0.04806491,0.04756195,0.04707489,0.04660316,0.04614622,0.04570357,0.04527470,0.04485913,0.04445639,0.04406604,0.04368764,0.04332078,0.04296506,0.04262008,0.04228547,0.04196088,0.04164595,0.04134035,0.04104377,0.04075589,0.04047642,0.04020506,0.03994155,0.03968561,0.03943700,0.03919546,0.03896075,0.03873266,0.03851095,0.03829543,0.03808587,0.03788210
0.07383329,0.07300968,0.07221232,0.07144031,0.07069275,0.06996881,0.06926766,0.06858851,0.06793058,0.06729314,0.06667546,0.06607686,0.06549667,0.06493425,0.06438898,0.06386025,0.06334749,0.06285016,0.06236770,0.06189962,0.06144540,0.06100459,0.06057670,0.06016131,0.05975799,0.05936632,0.05898591,0.05861639,0.05825738,0.05790853,0.05756951,0.05723998,0.05691964,0.05660817,0.05630530
0.09916014,0.09805401,0.09698314,0.09594630,0.09494231,0.09397004,0.09302838,0.09211625,0.09123264,0.09037653,0.08954698,0.08874304,0.08796383,0.08720848,0.08647616,0.08576607,0.08507743,0.08440949,0.08376154,0.08313289,0.08252287,0.08193084,0.08135618,0.08079830,0.08025662,0.07973060,0.07921970,0.07872342,0.07824126,0.07777275,0.07731743,0.07687487,0.07644464,0.07602633,0.07561956
0.12244542,0.12107955,0.11975720,0.11847689,0.11723714,0.11603656,0.11487377,0.11374745,0.11265634,0.11159920,0.11057485,0.10958213,0.10861994,0.10768722,0.10678293,0.10590609,0.10505573,0.10423095,0.10343084,0.10265457,0.10190130,0.10117024,0.10046064,0.09977176,0.09910288,0.09845334,0.09782247,0.09720965,0.09661427,0.09603574,0.09547350,0.09492701,0.09439575,0.09387922,0.09337693
0.14103912,0.13946583,0.13794269,0.13646795,0.13503994,0.13365705,0.13231768,0.13102034,0.12976354,0.12854587,0.12736596,0.12622250,0.12511420,0.12403984,0.12299823,0.12198824,0.12100875,0.12005872,0.11913712,0.11824297,0.11737531,0.11653324,0.11571588,0.11492239,0.11415195,0.11340377,0.11267710,0.11197122,0.11128542,0.11061904,0.10997143,0.10934195,0.10873002,0.10813505,0.10755648
0.15336696,0.15165616,0.14999988,0.14839624,0.14684342,0.14533965,0.14388321,0.14247247,0.14110582,0.13978172,0.13849868,0.13725526,0.13605009,0.13488182,0.13374917,0.13265090,0.13158580,0.13055273,0.12955057,0.12857826,0.12763477,0.12671910,0.12583030,0.12496745,0.12412966,0.12331608,0.12252590,0.12175832,0.12101258,0.12028795,0.11958373,0.11889924,0.11823382,0.11758684,0.11695771
0.15901342,0.15723963,0.15552238,0.15385970,0.15224971,0.15069057,0.14918051,0.14771783,0.14630086,0.14492801,0.14359773,0.14230854,0.14105900,0.13984772,0.13867337,0.13753466,0.13643035,0.13535924,0.13432019,0.13331208,0.13233385,0.13138447,0.13046295,0.12956833,0.12869970,0.12785617,0.12703690,0.12624106,0.12546786,0.12471655,0.12398641,0.12327671,0.12258679,0.12191600,0.12126370
0.15849681,0.15672879,0.15501711,0.15335983,0.15175507,0.15000000,0.14869585,0.14723792,0.14582555,0.14445716,0.14313121,0.14184621,0.14060072,0.13939338,0.13822284,0.13708783,0.13598711,0.13491948,0.13388381,0.13287897,0.13190392,0.13095762,0.13003909,0.12914738,0.12828157,0.12744079,0.12662417,0.12583092,0.12506024,0.12431137,0.12358359,0.12287620,0.12218852,0.12151991,0.12086973
0.15291596,0.15121019,0.14955878,0.14795986,0.14641160,0.14491225,0.14346010,0.14205350,0.14069087,0.13937066,0.13809140,0.13685164,0.13565001,0.13448518,0.13335586,0.13226081,0.13119885,0.13016881,0.12916961,0.12820015,0.12725943,0.12634646,0.12546027,0.12459996,0.12376463,0.12295345,0.12216559,0.12140027,0.12065672,0.11993423,0.11923207,0.11854959,0.11788613,0.11724105,0.11661377
