2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0.012753508,0.010134248,0.008363112,0.007139137,0.006271457,0.005634379,0.005141716,0.004732434,0.004363141,0.004004573,0.003640028,0.003264128,0.002880849,0.002500493,0.002136004,0.001799507,0.001499859,0.001241604,0.001025167,0.000847838,0.000705008,0.000591273,0.00050123,0.00042995,0.000373187,0.000327416,0.000289793,0.000258073,0.000230534,0.000205914,0.000183351,0.000162332,0.000142624,0.000124205,0.000107174
0.01166621,0.009534507,0.007968498,0.006789535,0.0058779,0.005151819,0.004554672,0.004047128,0.003602215,0.003202112,0.002835886,0.002497696,0.00218524,0.001898361,0.001637851,0.001404528,0.001198644,0.001019606,0.000865969,0.000735605,0.000625948,0.000534249,0.000457784,0.00039401,0.000340651,0.000295744,0.000257641,0.000225,0.000196752,0.000172067,0.000150322,0.000131057,0.000113942,9.87413E-05,8.52788E-05
0.010774837,0.009046259,0.007648868,0.006500305,0.005544172,0.004740986,0.004062281,0.003486771,0.002997871,0.002582152,0.002228401,0.001927066,0.001669937,0.001449956,0.001261094,0.001098253,0.000957178,0.00083437,0.000726989,0.00063276,0.000549878,0.000476908,0.000412707,0.000356335,0.000306999,0.000263997,0.00022669,0.000194477,0.000166787,0.000143079,0.000122842,0.000105605,9.09376E-05,7.84534E-05,6.78133E-05
0.009820986,0.00838624,0.007135031,0.006041841,0.00509168,0.004273976,0.003578864,0.002995448,0.002511474,0.002113819,0.001789268,0.001525249,0.001310362,0.001134653,0.000989699,0.000868553,0.000765631,0.000676564,0.000598052,0.000527724,0.000463988,0.000405879,0.000352899,0.000304847,0.000261668,0.000223334,0.000189753,0.000160727,0.000135953,0.000115036,9.75286E-05,8.29634E-05,7.08847E-05,6.08702E-05,5.25437E-05
0.008719226,0.007564813,0.006475117,0.005467173,0.004559418,0.00376518,0.003089489,0.002528957,0.002073676,0.001709892,0.0014225,0.00119686,0.001019857,0.000880332,0.000769116,0.000678848,0.000603732,0.000539305,0.000482246,0.000430233,0.000381812,0.000336257,0.000293407,0.000253469,0.000216823,0.000183842,0.000154771,0.000129663,0.000108379,9.06203E-05,7.59882E-05,6.40382E-05,5.43262E-05,4.64391E-05,4.00117E-05
0.00786983,0.00695645,0.005994865,0.005040965,0.004148017,0.003355393,0.002683728,0.00213618,0.001703324,0.001368901,0.00111455,0.000922847,0.000778776,0.000670116,0.000587238,0.000522673,0.000470656,0.000426772,0.000387716,0.000351157,0.000315669,0.000280641,0.000246153,0.000212763,0.000181262,0.000152425,0.000126833,0.000104776,8.62555E-05,7.10392E-05,5.87482E-05,4.89383E-05,4.11621E-05,3.50082E-05,3.01196E-05
0.006869969,0.006186636,0.005372166,0.004507633,0.003671171,0.002920978,0.002288424,0.001780565,0.001387786,0.001092103,0.000873485,0.000713526,0.000596958,0.00051183,0.000449065,0.000401824,0.000364922,0.0003344,0.000307263,0.000281353,0.000255325,0.000228615,0.000201354,0.000174194,0.000148047,0.000123826,0.000102232,8.36496E-05,6.81467E-05,5.5539E-05,4.54861E-05,3.75809E-05,3.14147E-05,2.66165E-05,2.28691E-05
0.006026852,0.005456032,0.004743482,0.003972406,0.003221495,0.002548213,0.001982773,0.001531493,0.001184838,0.000925679,0.000735318,0.000596847,0.000496436,0.0004234,0.000369719,0.000329423,0.000298042,0.000272205,0.000249384,0.000227777,0.000206258,0.000184344,0.000162118,0.00014008,0.000118938,9.94002E-05,8.20104E-05,6.70621E-05,5.45981E-05,4.44639E-05,3.63826E-05,3.00258E-05,2.50647E-05,2.12015E-05,1.81817E-05
0.005178346,0.004722111,0.004125329,0.003466362,0.002818311,0.002234147,0.00174184,0.0013478,0.001044254,0.000816618,0.000648825,0.000526278,0.000436995,0.000371692,0.000323391,0.0002869,0.000258349,0.000234835,0.000214208,0.000194941,0.00017608,0.00015719,0.000138291,0.000119726,0.000102009,8.56631E-05,7.10911E-05,5.85147E-05,4.79666E-05,3.93278E-05,3.23826E-05,2.68716E-05,2.25318E-05,1.91217E-05,1.64322E-05
0.004433762,0.003995782,0.003481149,0.00294492,0.002432251,0.001973191,0.001582469,0.001262593,0.001008163,0.000809824,0.000657141,0.000540292,0.000450846,0.000381966,0.000328288,0.000285698,0.000251085,0.00022213,0.000197144,0.000174943,0.000154753,0.000136129,0.000118873,0.000102954,8.84294E-05,7.53772E-05,6.38502E-05,5.38473E-05,4.53084E-05,3.81224E-05,3.21435E-05,2.72094E-05,2.31561E-05,1.98295E-05,1.70916E-05
