2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0.013349189,0.010106188,0.008395915,0.006890498,0.005585239,0.004497313,0.00361115,0.002915355,0.002378645,0.001977054,0.001680693,0.001469542,0.001323236,0.001229836,0.001177471,0.001160111,0.001170606,0.00120536,0.001258112,0.001324382,0.001395738,0.001464846,0.001520651,0.001554748,0.001557708,0.001526004,0.001458163,0.001359826,0.001238311,0.001104901,0.000969148,0.000840367,0.000724025,0.000623896,0.00054061
0.011199353,0.008551615,0.007136753,0.00589873,0.004827202,0.003934477,0.003203961,0.002626985,0.002177288,0.001837133,0.001582229,0.001397552,0.001266163,0.001178765,0.001124844,0.001099331,0.00109533,0.001109596,0.001136213,0.001171709,0.001209373,0.00124458,0.001269813,0.001280486,0.001270664,0.0012389,0.001184045,0.001109875,0.001020414,0.000922816,0.000822822,0.000726788,0.000638444,0.00056093,0.000495049
0.00912212,0.007122719,0.005893238,0.004834456,0.003930056,0.003194669,0.002603286,0.002147482,0.001797349,0.001538054,0.001345496,0.001208508,0.001111104,0.00104703,0.001006101,0.000985245,0.000977405,0.000980973,0.0009902,0.001003853,0.001016528,0.001026926,0.001029867,0.001024333,0.001006204,0.000975864,0.000931608,0.00087623,0.000810936,0.000740428,0.000667477,0.000596694,0.000530288,0.000471096,0.000419731
0.007777458,0.006121219,0.005103334,0.004219237,0.003457509,0.002832224,0.0023243,0.001928374,0.001620499,0.00138909,0.001214169,0.001086469,0.00099234,0.000926304,0.000879521,0.000849182,0.000829286,0.000818463,0.000812188,0.000809719,0.000807234,0.0008042,0.000797216,0.000785966,0.000767736,0.000742906,0.000710092,0.00067093,0.000625723,0.000577248,0.000526916,0.000477654,0.000430806,0.000388411,0.000350982
0.006634467,0.005323622,0.004475718,0.00372849,0.003076177,0.002535244,0.002091242,0.001741861,0.00146711,0.001257977,0.001097159,0.000976932,0.000885199,0.000817245,0.000765195,0.000726668,0.000696515,0.00067379,0.00065497,0.000639875,0.000625876,0.000613081,0.000599306,0.00058472,0.00056748,0.000547913,0.000524757,0.000498816,0.000469699,0.000438825,0.000406583,0.000374676,0.000343739,0.000315188,0.000289377
0.005804041,0.004843445,0.004145957,0.003505122,0.002925825,0.002429903,0.002011775,0.001673887,0.001401978,0.001189523,0.001022152,0.000892922,0.000791194,0.000712311,0.000649338,0.000599769,0.000559269,0.000526743,0.000499438,0.000477009,0.000457554,0.00044101,0.000425865,0.000412092,0.000398391,0.000384761,0.000370175,0.000354828,0.000338142,0.000320656,0.00030229,0.000283867,0.000265607,0.000248346,0.0002323
0.00480464,0.004192209,0.003540814,0.002941463,0.002402055,0.001953044,0.001584181,0.001297713,0.001074092,0.000906042,0.000776636,0.000679486,0.000603238,0.000544369,0.000495948,0.000456703,0.000422614,0.000393806,0.000368,0.000345944,0.00032619,0.000309504,0.000294674,0.000282189,0.00027083,0.000260811,0.000250951,0.000241383,0.00023117,0.00022062,0.000209231,0.0001976,0.000185631,0.000174067,0.000162974
0.004402617,0.004036192,0.003473245,0.002918107,0.002392872,0.001939424,0.001557526,0.001254923,0.001015778,0.000833664,0.000692493,0.000585299,0.000501073,0.000435663,0.000382578,0.000340011,0.000304359,0.000275152,0.000250366,0.000230081,0.000213003,0.000199303,0.000187961,0.000179056,0.000171663,0.000165754,0.000160472,0.000155763,0.000150918,0.000145992,0.000140537,0.000134815,0.000128666,0.00012251,0.000116354
0.004093366,0.004122371,0.003656976,0.003137163,0.002602515,0.002111649,0.001681252,0.001329285,0.001046707,0.000828803,0.000660251,0.000532597,0.000434206,0.00035921,0.000300628,0.000255311,0.00021938,0.000191316,0.000168939,0.000151532,0.000137771,0.000127292,0.000119196,0.000113262,0.000108803,0.000105652,0.000103232,0.000101408,9.97E-05,9.80E-05,9.61E-05,9.39E-05,9.14E-05,8.87E-05,8.57E-05
0.003744881,0.004088182,0.003705177,0.003225356,0.002697039,0.00219367,0.001741477,0.001366954,0.001063976,0.000829789,0.000648642,0.000511796,0.000406779,0.000327213,0.000265607,0.000218441,0.000181576,0.000153219,0.000131052,0.000114141,0.000101101,9.14E-05,8.42E-05,7.92E-05,7.57E-05,7.37E-05,7.25E-05,7.22E-05,7.22E-05,7.25E-05,7.27E-05,7.28E-05,7.26E-05,7.21E-05,7.12E-05
0.003340106,0.003280303,0.002962534,0.002580469,0.002168389,0.001772746,0.00141531,0.001114484,0.000869354,0.000677836,0.000529866,0.000418105,0.000333404,0.000269934,0.000221812,0.000185586,0.00015791,0.000136954,0.000120866,0.000108708,9.94E-05,9.25E-05,8.73E-05,8.36E-05,8.09E-05,7.89E-05,7.74E-05,7.62E-05,7.50E-05,7.38E-05,7.24E-05,7.08E-05,6.90E-05,6.70E-05,6.50E-05
0.003485974,0.003209108,0.002999502,0.00269484,0.002330348,0.001926887,0.00153334,0.001174191,0.000875897,0.000640164,0.000465824,0.000340373,0.000253785,0.000194453,0.000154955,0.000128679,0.000111958,0.000101608,9.61E-05,9.37E-05,9.38E-05,9.53E-05,9.75E-05,9.95E-05,0.000100743,0.000100582,9.89E-05,9.56E-05,9.09E-05,8.53E-05,7.92E-05,7.30E-05,6.72E-05,6.18E-05,5.72E-05
0.002587943,0.00213106,0.001919501,0.00170757,0.001500482,0.001303402,0.0011213,0.000957481,0.00081394,0.000690898,0.000587541,0.000502064,0.000432355,0.000376063,0.000331013,0.000295162,0.000266794,0.000244403,0.000226774,0.000212862,0.000201833,0.000192965,0.000185686,0.0001795,0.00017403,0.000168961,0.000164083,0.000159241,0.000154369,0.000149442,0.000144496,0.000139582,0.000134784,0.000130174,0.000125832
0.001791021,0.001345437,0.001177453,0.001048666,0.000949612,0.000878641,0.000828202,0.000796664,0.000777424,0.000768476,0.000763256,0.000759229,0.000750143,0.000734262,0.000707669,0.000671589,0.000625989,0.000575079,0.000521222,0.000468934,0.000420108,0.000377399,0.000341071,0.00031192,0.000289141,0.000272617,0.000261241,0.000254648,0.000251756,0.000252156,0.000254806,0.000259263,0.000264489,0.000270039,0.000274949
0.001248337,0.000909858,0.000777947,0.00069366,0.00064402,0.000625303,0.000630989,0.000660877,0.000710519,0.000779408,0.000860216,0.000947726,0.001028328,0.001092291,0.001125056,0.001122289,0.001080454,0.001008434,0.000914567,0.000813265,0.000713255,0.000623621,0.000547039,0.000485995,0.000439084,0.000405845,0.00038394,0.000372461,0.000369359,0.000373892,0.000384223,0.000399538,0.000417796,0.000437842,0.000457302
0.001007513,0.000762018,0.000648757,0.000584668,0.000556826,0.000560649,0.000592154,0.00065229,0.000739867,0.000855604,0.000993795,0.001147134,0.00129828,0.001429608,0.001518279,0.001551738,0.001522553,0.001439869,0.001317029,0.001175313,0.00103069,0.000897719,0.000782713,0.00068974,0.000617853,0.00056617,0.000531799,0.000513115,0.000507597,0.000514007,0.000530209,0.000554933,0.000585649,0.00062034,0.000655564
0.000817442,0.000651673,0.000550368,0.000498228,0.000482564,0.000499009,0.00054591,0.00062622,0.000742456,0.000898234,0.001091055,0.001313588,0.001545677,0.00176134,0.001926807,0.002017359,0.002017628,0.001934419,0.001785559,0.001600482,0.001404578,0.001220042,0.001058423,0.000926296,0.000823539,0.000748876,0.000698714,0.000670527,0.000661134,0.000668676,0.000690621,0.000725191,0.000769322,0.000820084,0.000872855
0.001110322,0.000930477,0.000786693,0.000711396,0.000686865,0.000705985,0.000765828,0.000868746,0.001016862,0.001212821,0.001452308,0.001724685,0.00200561,0.002264003,0.002461766,0.002570526,0.002573554,0.002477691,0.00230318,0.002082775,0.00184628,0.001619843,0.001418484,0.001250982,0.001118527,0.001020208,0.000952336,0.000911898,0.000895145,0.000899518,0.000921824,0.000959509,0.001008761,0.001065758,0.001125044
0.002176391,0.001908133,0.001628123,0.0014654,0.001389318,0.001384471,0.001440416,0.001553778,0.001719756,0.001934394,0.002185736,0.002457509,0.002722122,0.002950358,0.003109664,0.003179446,0.003149062,0.003027909,0.00283478,0.002598999,0.002346886,0.00210275,0.00188133,0.001692492,0.001538753,0.001420564,0.001334962,0.001279312,0.001249604,0.001242821,0.001254942,0.001282646,0.001321334,0.001366763,0.001413375
0.003895325,0.003578184,0.00307557,0.002753567,0.002565052,0.002481526,0.0024812,0.002550731,0.002676165,0.002845535,0.003041349,0.003245104,0.003432346,0.003580808,0.003668403,0.003683084,0.003619858,0.003486897,0.003298118,0.003074532,0.002835543,0.002599953,0.002380411,0.002186359,0.002021642,0.001888111,0.001784361,0.001708631,0.001657531,0.001628068,0.001616228,0.001618485,0.001630423,0.001648116,0.001666975
0.005775751,0.005481008,0.004744985,0.004247186,0.00392732,0.00374102,0.003657735,0.003652488,0.00370574,0.003797873,0.003910837,0.004024886,0.004122172,0.004185381,0.004202413,0.004165275,0.004073623,0.003931983,0.003750899,0.00354271,0.003321528,0.003099524,0.002887463,0.002692608,0.002520124,0.002372172,0.002249536,0.002151112,0.002075254,0.00201924,0.001980262,0.001954846,0.001939639,0.001930878,0.001925147
0.007810051,0.007628286,0.006627602,0.005923336,0.005442242,0.0051211,0.004922158,0.00480823,0.004757312,0.00474361,0.004752106,0.004763053,0.004766379,0.004748113,0.004703987,0.004626862,0.004518821,0.004379306,0.004215419,0.00403104,0.003835484,0.00363405,0.003435389,0.003243739,0.003065288,0.002902027,0.002757252,0.002630697,0.002523238,0.002432926,0.00235897,0.002298387,0.002249422,0.002208649,0.002173996
0.009915918,0.009762965,0.008487598,0.007558202,0.006890583,0.006406389,0.006062225,0.005812326,0.005633749,0.005497731,0.005392385,0.005299031,0.005212658,0.005121301,0.00502438,0.00491443,0.004793544,0.00465731,0.004509504,0.004348122,0.004178244,0.003999911,0.003819069,0.003637073,0.003459816,0.003288796,0.003128757,0.002980284,0.002846301,0.002726025,0.002620557,0.002527906,0.002447825,0.002377631,0.002316396
0.012027119,0.011726205,0.01021206,0.009072135,0.008217904,0.007562433,0.007059827,0.006659674,0.006339403,0.006069374,0.0058403,0.005634813,0.005450918,0.005277981,0.005117069,0.004960539,0.004809982,0.004658954,0.004508921,0.004354608,0.004198007,0.004035778,0.003871219,0.003703254,0.003536392,0.003371121,0.003212136,0.00306017,0.002918929,0.002788345,0.002670548,0.002564353,0.002470444,0.002386812,0.002313238
