"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"0",37745,37564.5806333808,37644.0321911558,37706.808912567,37752.4389418041,37778.310534689,37789.6623884174,37779.7701321875,37746.9335251245,37692.1802381982,37613.0407233246,37492.8581247235,37355.5134992698,37184.6778787346,36981.1395992135,36747.6407018558,36481.313447624,36107.0571353432,35780.6394886594,35410.8871031994,35020.9070976309,34632.295637409,34253.9210788356,33831.2115064869,33479.4005903903,33132.1538693821,32804.9559368046,32501.4011468919,32125.2444969262,31819.2760298096,31523.2079808726,31217.0758310059,30921.9957927343,30637.8260174131,30273.4199980051,29985.8094215784
"1",38066,37496.55078454,35660.0193190273,36624.7766536552,37002.5930048758,37148.0561450262,37409.9136017077,37566.1338523239,36188.1920231497,36822.9241877878,36969.0398919204,37068.3912556692,37164.4738149308,35164.7428538577,35698.6517599803,36173.6577843668,36047.1643773346,36007.1802998267,35822.9681457634,33572.5478847928,34163.8730608179,34320.8796839388,33983.1813081467,33854.2656126453,33592.0614803381,31574.8859512631,32172.4894481225,32175.0243800755,31946.9861358648,31788.691055005,31617.1649522753,29984.5464867307,30408.0483186105,30346.7501634406,30162.7529765936,29988.5934341565
"2",38377,37996.029591156,37453.5985606094,34553.4232694623,36344.8981312941,36867.3437171059,37045.7394025782,37347.6807514446,37527.322851928,35391.5610505684,36594.6928314838,36826.896706214,36979.9949302729,37108.574506879,33862.293947642,35018.8718929986,35995.2551643069,35910.2458921727,35929.2125840506,35774.2903562593,32248.6478972137,33691.9167830412,34178.2238835852,33858.1321385094,33787.7953688933,33550.8526204694,30448.2164726021,31888.3371954433,32051.1078077799,31848.2527292795,31732.1646906692,31582.1706947001,29095.6285495607,30196.0803819199,30236.6394082126,30084.2976050343
"3",38631,38336.565800915,37978.6813639653,37446.1874297942,34204.7227338264,36255.3512078292,36823.8702984049,37013.1110712334,37333.4258886554,37521.1151197091,35151.5549134905,36521.3246807463,36781.1704057843,36952.7677433655,37096.7343111196,33418.9819338496,34811.6628467245,35937.7811444382,35866.2081880585,35907.098800431,35764.7482797926,31785.9779325242,33544.8566200708,34132.2914267258,33817.9326152282,33770.4111427225,33543.3715184538,30070.7992286537,31797.8512962542,32011.243953984,31816.6428288736,31718.5164327784,31576.2836517539,28821.2059713709,30128.0993724305,30201.2509897087
"4",38879,38604.235400163,38312.8989903738,37968.1579650822,37441.5289742932,34020.4420195153,36204.8316600082,36798.5472961019,36993.8659560795,37324.7127150541,37517.1831694924,35022.2319562966,36479.557834723,36754.5941711076,36936.5849069294,37089.4416496051,33187.8251417229,34699.2925396384,35904.7375406227,35840.5996795461,35893.854287503,35758.8261024192,31545.9061016206,33463.9796353112,34105.686158866,33794.5235379106,33759.9194526999,33538.6929225378,29873.4351010143,31747.1187466488,31988.0766484646,31798.0935670211,31710.2163631168,31572.5737541877,28675.6879906335,30089.5946973334
"5",39097,38830.07194487,38584.7831891957,38295.5995287797,37960.1556442368,37437.8445406345,33899.8459483992,36169.3735530012,36780.1360261275,36979.6785495283,37318.0307703344,37514.0471081513,34935.8667820701,36449.9508796661,36735.3191063048,36924.5533684447,37083.801754929,33038.6056772546,34623.7343790425,35881.057504501,35822.0155042784,35883.9236066249,35754.2073851633,31391.6889869355,33408.77220066,34086.4625911796,33777.5093470902,33751.9860066682,33535.0132248438,29745.6599962987,31711.7533452843,31971.2753590381,31784.4963524329,31703.8869405103,31569.6313166041,28580.1253427827
"6",39313,38965.492861636,38793.096824292,38569.3696872703,38281.8139937482,37953.5231319622,37434.668239028,33813.553585439,36142.2264850035,36765.5419623934,36968.2772708753,37312.4457911674,37511.3206622355,34872.8612738916,36427.0618049617,36720.077438731,36914.8028124104,37079.0478711306,32933.1970630767,34568.2495677102,35862.5529614058,35807.3115699303,35875.8075602032,35750.2812514046,31283.2474018642,33367.6367144423,34071.3181462826,33764.0270542343,33745.447403179,33531.8588208948,29655.1540069631,31684.8575607843,31957.9908465285,31773.6305680788,31698.6262194386,31567.0875619911
"7",39449,39309.498705594,38870.207346771,38764.1202042398,38556.6334257203,38270.3506959568,37947.7608762662,37431.7854700962,33749.9202308956,36120.6399258175,36753.4779012816,36958.7070341603,37307.5479356581,37508.8228959266,34825.3905914825,36408.661913211,36707.5121219921,36906.5409473077,37074.8396216715,32856.5653337618,34526.1381458361,35847.4982202981,35795.1816640995,35868.8657708193,35746.7730763054,31204.8072555136,33335.904358868,34058.8848408647,33752.8860395193,33739.802127283,33529.0137097376,29589.1587451675,31663.6300052978,31947.0400255111,31764.5667904493,31694.0414569367
"8",39557,39442.605632692,39306.1329083863,38795.2884426884,38739.6161246427,38545.3177863859,38260.1057996162,37942.3962392589,37428.9899894937,33699.0677410873,36102.1359360344,36742.7554048852,36950.0786544161,37302.9480269203,37506.3795712032,34786.6903538068,36392.7286817672,36696.3723464584,36899.0265910382,37070.8526675683,32796.126306105,34491.5726824189,35834.3150518951,35784.4213461298,35862.4965363244,35743.4202434715,31143.2294675496,33309.4612527816,34047.9047672753,33742.9872631247,33734.5769790867,33526.270768184,29536.9640905133,31645.5600149445,31937.3323742997,31756.4426530824
"9",39677,39545.855448162,39436.5040982563,39302.7931448854,38733.9430048855,38718.1108339812,38534.9066189611,38250.6263992831,37937.2341383081,37426.1927713559,33656.7807018258,36085.6845176075,36732.8863742689,36942.0276017781,37298.4845053712,37503.9141643548,34753.8921750337,36378.4247745079,36686.144039987,36891.9559257647,37066.9513681044,32746.4918942425,34462.0882513428,35822.3526616729,35774.5356850264,35856.4528449581,35740.1118324937,31092.8826999277,33286.5775196631,34037.8604651294,33733.8792885167,33729.5771099635,33523.5413944808,29493.9872760963,31629.6010008012,31928.419718766
