"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"0",39103,39442.8096650498,39526.2338007136,39592.1493581953,39640.0608888943,39667.2260614234,39679.1455078383,39668.7586387969,39634.2802013807,39576.7892501081,39493.6927594909,39367.5010309596,39223.2891742333,39043.9117726713,38830.1965791741,38585.0227369486,38305.3791200052,37912.4099921103,37569.6714630924,37181.4314583594,36771.9524525124,36363.9104192794,35966.6171327773,35522.7720818112,35153.3706199098,34788.7615628512,34445.2037336448,34126.4712042365,33731.5067217725,33410.2398313,33099.3683799162,32777.9296225561,32468.0955823711,32169.7173182838,31787.0909979054,31485.0998926573
"1",39303,38779.262861039,37054.0674813946,38216.4348882443,38676.5648694666,38852.2145994474,39185.2360236417,39383.1732064149,37649.1410932218,38443.117846059,38637.3937493549,38787.6108160253,38936.7697856046,36490.3179740549,37155.8900068325,37785.498292104,37674.8842366825,37689.1869934241,37538.8272458585,34820.3997354014,35591.6531326177,35863.7534389072,35520.0608232657,35445.9191731255,35207.4768234328,32774.7873302807,33558.1215073645,33626.9137602009,33403.6031308883,33291.9194464812,33143.0881791747,31166.8923077719,31736.8599992132,31720.0996223882,31552.5325091997,31414.1251124542
"2",39573,39218.193991053,38725.35611797,35789.8662929057,37899.5845667062,38525.2549151796,38736.7795413801,39108.1009445305,39333.5002340122,36744.4087773368,38185.3736943161,38478.1950140424,38681.6660643291,38866.9503947371,35014.2587768593,36383.5774863055,37584.7281453398,37521.5773716972,37594.7873013427,37477.5886178804,33324.387258518,35055.4648781748,35703.7219831296,35380.1413007926,35364.684002889,35155.282619229,31495.747485616,33236.0092134971,33488.1236840658,33293.5858587065,33222.2365293908,33098.4815927992,30149.3117558902,31497.1307714695,31596.9335841243,31461.3502969178
"3",39802,39528.681049683,39198.8818542224,38716.9722719972,35421.122727852,37801.8034869258,38477.0619401697,38700.4003597152,39091.9523492723,39326.3597090467,36488.1651757121,38104.9127588096,38427.5567474491,38651.2032852618,38853.492674296,34548.4895127026,36161.6451950395,37521.4023134128,37472.7969947762,37569.9603429203,37466.7072248907,32839.4082532139,34896.8626672063,35652.9360092765,35335.5837277391,35345.1003140169,35146.7235735014,31098.6652901316,33137.4990116287,33443.9791036155,33258.4246025619,33206.8095845249,33091.7244384866,29858.6366033304,31422.7577619727,31557.6974599075
"4",40014,39772.832855588,39502.8863716919,39187.4522442513,38711.9275279441,35217.1800526301,37745.8826363969,38449.0763802317,38679.1502407804,39082.3609823956,39322.0478096628,36344.9597454535,38058.6967581111,38398.1820313753,38633.3450765519,38845.4710987589,34292.8172509462,36037.1999918928,37484.8562799525,37444.492891859,37555.3538561682,37460.1982462447,32573.94140601,34807.2916684081,35623.5230857805,35309.712850784,35333.5374472099,35141.5855794224,30880.3396294541,33081.3314478665,33418.3721859111,33237.9352179507,33197.6685136029,33087.6536930965,29697.573205482,31380.1425321235
"5",40228,39958.012771326,39750.8928882542,39483.3958845735,39178.5435256079,38707.8717180089,35075.9603932204,37704.9548890919,38428.0190899178,38662.9861078574,39074.8352829648,39318.5581352079,36244.1812053427,38024.6073550727,38376.1220838074,38619.6702631953,38839.1351693499,34117.711164621,35949.148030809,37457.6678764501,37423.2270784554,37544.0943479732,37455.0228201754,32392.8455689711,34743.155996431,35601.4996619738,35290.251690688,35324.5646720429,35137.4730650868,30730.4617466608,33040.4430876036,33399.1429872084,33222.4189188426,33190.5277946987,33084.3737139859,29585.7328575319
"6",40408,40057.769505624,39912.749493241,39732.7355151516,39467.221471966,39171.0105886872,38704.378758373,34964.9921206666,37671.6500647334,38410.5891395871,38649.5175860058,39068.4465083212,39315.5410256494,36164.1693845299,37996.733036405,38357.8836782825,38608.2298424142,38833.7351701916,33981.0835490797,35878.9995954769,37435.3187963693,37405.6402574292,37534.6367277983,37450.5945502824,32251.9048485789,34691.6753597764,35583.3243843664,35274.1454315579,35316.9976910708,35133.9404489572,30613.3423332698,33007.2811217663,33383.2455629319,33209.5250655032,33184.4818413461,33081.545231624
"7",40518,40404.110770408,39922.2728184226,39875.0164189103,39717.1102593157,39453.2490099499,39164.3250764549,38701.1920333479,34875.7452020533,37643.6444326722,38395.5861171115,38637.8156715663,39062.7431402261,39312.7718748328,36099.0005387023,37973.140826866,38342.2106086537,38598.2325501623,38828.8860405146,33872.1179036305,35821.6177373599,37416.2662031738,37390.521122071,37526.3241194754,37446.5944148279,32139.8339622449,34649.1582832057,35567.7448662845,35260.2848441262,35310.3080513192,35130.7303662202,30519.7696217073,32979.5194897895,33369.5849385481,33198.3652702812,33179.105557074
"8",40636,40510.032702552,40400.0711674132,39813.7842815722,39841.8171581152,39702.4554399722,39440.0439285998,39157.6633814167,38697.8444576394,34802.7647407797,37618.5675542787,38381.5079531102,38626.6301398428,39056.995370075,39309.8298642367,36044.3153540532,37951.7367723881,38327.5517680627,38588.5673983388,38823.9435116105,33784.5209824151,35773.0410445515,37398.7287127929,37376.369221122,37518.1960677764,37442.4708332975,32050.2836427912,34612.4541872922,35553.2464931479,35247.2843418439,35303.6923826233,35127.3835669304,30444.2759500908,32954.8840195873,33356.8096932806,33187.7783779932
"9",40725,40620.73224208,40501.8945610623,40395.7291697645,39723.0630797844,39811.4146244364,39688.1811367629,39427.0865726478,39150.7840456409,38694.2068602604,34740.4869334143,37595.2107499628,38367.7887901445,38615.5334815362,39050.9946142493,39306.5979279548,35996.4745272587,37931.5465622804,38313.3118177716,38578.873448557,38818.7267771448,33710.9869792102,35730.1819006717,37381.9529894466,37362.6112412463,37509.9540704642,37438.0707064526,31975.5447851075,34579.4531159096,35539.2305501024,35234.6206622783,35296.9101902797,35123.77313932,30380.6827591595,32932.1370097574,33344.4007932907
