"Oaxaca: Tablas de mortalidad por sexo, 1970-2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Hombres,,,,,,,,Mujeres,,,,,,,,Total,,,,,,
year y edad,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x),,q(x),m(x),l(x),d(x),L(x),T(x),e(x)
,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,
0,0.11809244,0.12874913,100000,11809,91723,5506948,55.0694751,,0.10214404,0.10983946,100000,10214,92994,6245737,62.4573661,,0.11031273,0.11943002,100000,11031,92366,5856135,58.56135385
1,0.02407699,0.02440606,88191,2123,87002,5415225,61.40353976,,0.02324906,0.02355574,89786,2087,88617,6152743,68.5270573,,0.0236684,0.02398632,88969,2106,87790,5763769,64.78421794
2,0.01343156,0.01352786,86067,1156,85455,5328223,61.90757086,,0.01227936,0.0123598,87698,1077,87127,6064126,69.14769546,,0.01286297,0.01295127,86863,1117,86271,5675980,65.34406175
3,0.00902661,0.00906836,84911,766,84520,5242768,61.74400786,,0.00765829,0.00768832,86621,663,86283,5976999,69.00149787,,0.00834448,0.00838014,85746,716,85381,5589709,65.18940885
4,0.00695578,0.00698006,84145,585,83852,5158248,61.30196052,,0.00533956,0.00535385,85958,459,85728,5890716,68.53022806,,0.00614309,0.00616201,85030,522,84769,5504328,64.73383474
5,0.00528828,0.00530231,83560,442,83338,5074396,60.72784821,,0.00320722,0.00321237,85499,274,85362,5804987,67.89542931,,0.00424193,0.00425095,84508,358,84328,5419559,64.13086773
6,0.00427281,0.00428196,83118,355,82940,4991057,60.04804542,,0.00261702,0.00262045,85225,223,85113,5719625,67.11227734,,0.00344165,0.00344758,84149,290,84004,5335231,63.40193652
7,0.00356962,0.00357601,82763,295,82615,4908117,59.30357599,,0.00220444,0.00220687,85002,187,84908,5634512,66.28706096,,0.00288595,0.00289012,83860,242,83739,5251226,62.61917132
8,0.00307798,0.00308273,82467,254,82340,4825502,58.51423567,,0.00190975,0.00191158,84814,162,84733,5549604,65.43240518,,0.00249401,0.00249712,83618,209,83513,5167488,61.79896368
9,0.00273808,0.00274184,82213,225,82101,4743162,57.69335463,,0.00169916,0.00170061,84652,144,84580,5464871,64.55664768,,0.00221974,0.0022222,83409,185,83317,5083974,60.95222653
10,0.00251291,0.00251607,81988,206,81885,4661061,56.85038546,,0.0015554,0.00155661,84508,131,84443,5380291,63.66567598,,0.00203658,0.00203866,83224,169,83139,5000658,60.08671349
11,0.00237631,0.00237914,81782,194,81685,4579176,55.99234602,,0.00146414,0.00146521,84377,124,84315,5295848,62.76407707,,0.0019239,0.00192575,83055,160,82975,4917519,59.20831469
12,0.0023143,0.00231698,81588,189,81493,4497491,55.12452773,,0.00141575,0.00141675,84254,119,84194,5211533,61.85537407,,0.00186972,0.00187147,82895,155,82817,4834544,58.32148171
13,0.00231102,0.00231369,81399,188,81305,4415998,54.25123885,,0.00140449,0.00140548,84134,118,84075,5127339,60.94236106,,0.00186318,0.00186491,82740,154,82663,4751727,57.42979451
14,0.00235888,0.00236167,81211,192,81115,4334693,53.37574698,,0.00142528,0.0014263,84016,120,83956,5043264,60.02737148,,0.00189778,0.00189958,82586,157,82507,4669064,56.53606306
15,0.00244708,0.00245008,81019,198,80920,4253578,52.50077008,,0.00147346,0.00147455,83896,124,83834,4959307,59.11233612,,0.00196545,0.00196738,82429,162,82348,4586557,55.64260946
16,0.00256987,0.00257318,80821,208,80717,4172658,51.62833284,,0.00154242,0.00154361,83773,129,83708,4875473,58.19882687,,0.00205967,0.0020618,82267,169,82182,4504209,54.75120306
17,0.00272162,0.00272533,80613,219,80504,4091940,50.76006521,,0.00162889,0.00163022,83643,136,83575,4791765,57.28796034,,0.0021765,0.00217887,82097,179,82008,4422027,53.86317389
18,0.00289232,0.00289651,80394,233,80278,4011437,49.89722791,,0.00172923,0.00173073,83507,144,83435,4708190,56.38061293,,0.00230918,0.00231185,81919,189,81824,4340019,52.97957238
19,0.00308108,0.00308584,80161,247,80038,3931159,49.04051559,,0.00183969,0.00184138,83363,153,83286,4624754,55.47741117,,0.00245502,0.00245804,81730,201,81629,4258195,52.10103822
20,0.00328314,0.00328854,79914,262,79783,3851121,48.190536,,0.00195899,0.00196091,83209,163,83128,4541468,54.57873902,,0.00261178,0.0026152,81529,213,81422,4176566,51.22803221
21,0.00349327,0.00349939,79652,278,79513,3771338,47.34762729,,0.00208174,0.00208391,83046,173,82960,4458340,53.68488692,,0.00277461,0.00277846,81316,226,81203,4095143,50.36087041
22,0.00370713,0.00371402,79374,294,79227,3691825,46.51185361,,0.00220679,0.00220923,82874,183,82782,4375380,52.79583536,,0.00294085,0.00294519,81090,238,80971,4013940,49.49960031
23,0.0039262,0.00393393,79080,310,78924,3612599,45.68306144,,0.00233042,0.00233314,82691,193,82594,4292598,51.91149701,,0.00310929,0.00311413,80852,251,80726,3932969,48.64412673
24,0.0041466,0.00415522,78769,327,78606,3533674,44.86115982,,0.00245564,0.00245866,82498,203,82397,4210004,51.03158773,,0.00327979,0.00328518,80600,264,80468,3852243,47.79428852
25,0.00436367,0.00437322,78442,342,78271,3455069,44.04587514,,0.00257668,0.00258001,82295,212,82189,4127607,50.15598108,,0.00344727,0.00345322,80336,277,80198,3771775,46.94991538
26,0.00458129,0.00459182,78100,358,77921,3376797,43.23672944,,0.00269646,0.0027001,82083,221,81973,4045418,49.28425997,,0.00361507,0.00362162,80059,289,79914,3691577,46.11059552
27,0.0048,0.00481156,77742,373,77556,3298876,42.43342181,,0.0028114,0.00281536,81862,230,81747,3963445,48.41616096,,0.0037816,0.00378877,79770,302,79619,3611663,45.27608028
28,0.00501142,0.00502402,77369,388,77175,3221320,41.6356751,,0.00292349,0.00292777,81632,239,81513,3881698,47.55125294,,0.00394372,0.00395151,79468,313,79311,3532044,44.44604948
29,0.00522485,0.00523855,76982,402,76780,3144145,40.84286368,,0.00303303,0.00303764,81393,247,81270,3800186,46.68921075,,0.00410612,0.00411457,79155,325,78992,3452733,43.62004779
30,0.00543273,0.00544754,76579,416,76371,3067365,40.0547586,,0.00313813,0.00314306,81146,255,81019,3718916,45.82973103,,0.00426402,0.00427314,78830,336,78662,3373740,42.79783529
31,0.00564161,0.00565758,76163,430,75948,2990994,39.27082519,,0.00324288,0.00324815,80892,262,80760,3637897,44.97243006,,0.00442258,0.00443239,78494,347,78320,3295079,41.978968
32,0.00585199,0.00586918,75734,443,75512,2915046,38.49079857,,0.00334493,0.00335054,80629,270,80494,3557137,44.11711892,,0.00458072,0.00459124,78146,358,77967,3216759,41.16322845
33,0.00605742,0.00607584,75290,456,75062,2839534,37.71443191,,0.00344905,0.00345501,80360,277,80221,3476642,43.26350586,,0.00473769,0.00474895,77788,369,77604,3138792,40.35035425
34,0.00626985,0.00628959,74834,469,74599,2764472,36.94123222,,0.00355708,0.00356342,80083,285,79940,3396421,42.41151073,,0.00489994,0.00491198,77420,379,77230,3061188,39.54005354
35,0.00648344,0.00650455,74365,482,74124,2689872,36.17115824,,0.00366575,0.00367249,79798,293,79651,3316481,41.56112651,,0.00506295,0.00507581,77041,390,76845,2983958,38.73229144
36,0.00670245,0.00672501,73883,495,73635,2615749,35.40394286,,0.00377625,0.0037834,79505,300,79355,3236830,40.71220145,,0.00522925,0.00524297,76651,401,76450,2907112,37.92684681
37,0.0069287,0.00695281,73388,508,73133,2542114,34.63946706,,0.00389855,0.00390617,79205,309,79050,3157475,39.86462966,,0.00540492,0.00541958,76250,412,76043,2830662,37.12359241
38,0.00716611,0.00719191,72879,522,72618,2468980,33.87766342,,0.00402422,0.00403234,78896,317,78737,3078424,39.01869657,,0.00558772,0.00560339,75838,424,75625,2754619,36.32261824
39,0.00741311,0.00744072,72357,536,72089,2396362,33.11858218,,0.00415795,0.00416662,78579,327,78415,2999687,38.17433199,,0.00577955,0.00579631,75414,436,75196,2678993,35.52391252
40,0.00767338,0.00770297,71821,551,71545,2324274,32.36219774,,0.00430529,0.00431458,78252,337,78083,2921272,37.33163554,,0.00598442,0.00600239,74978,449,74753,2603798,34.72751443
